ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
ON,0001097864,2016,FY,10-K,2017-02-28,2014-12-31,2014-01-01,0001193125-17-062207,3161800000,189700000,0.43,0.43,228900000,1084900000,null,null,3869600000,2237700000,1608200000,509500000,481300000,204300000,3806800000,null,2076900000,856000000,-200000,null
ON,0001097864,2016,Q1,10-Q,2016-05-09,2015-04-03,2015-01-01,0001193125-16-583131,870800000,55100000,0.13,0.13,68400000,300400000,null,null,3869600000,2237700000,1608200000,511700000,83500000,64800000,1515800000,null,570400000,232000000,7400000,null
ON,0001097864,2016,Q2,10-Q,2016-08-08,2015-07-03,2015-01-01,0001193125-16-674368,1751300000,105800000,0.25,0.24,136200000,604800000,null,null,3869600000,2237700000,1608200000,511700000,185100000,140300000,1515800000,null,1146500000,468600000,15100000,null
ON,0001097864,2016,Q3,10-Q,2016-11-07,2015-10-02,2015-01-01,0001193125-16-761289,2655500000,152100000,0.36,0.35,205600000,913300000,null,null,3869600000,2237700000,1608200000,511700000,313400000,204800000,1515800000,null,1742200000,707700000,25100000,null
ON,0001097864,2017,FY,10-K,2018-02-21,2015-12-31,2015-01-01,0001193125-18-051397,3495800000,206200000,0.49,0.48,261100000,1193200000,null,null,6924400000,5046500000,1823200000,511700000,470600000,270800000,3175000000,null,2302600000,932100000,10800000,null
ON,0001097864,2017,Q1,10-Q,2017-05-08,2016-04-01,2016-01-01,0001193125-17-162150,817200000,36000000,0.09,0.09,58400000,275500000,null,null,6924400000,5046500000,1823200000,617600000,114900000,72900000,3538400000,null,541700000,217100000,5300000,null
ON,0001097864,2017,Q2,10-Q,2017-08-07,2016-07-01,2016-01-01,0001193125-17-249592,1695000000,61100000,0.15,0.15,133700000,583400000,null,null,6924400000,5046500000,1823200000,617600000,219100000,124900000,3407300000,null,1111600000,449700000,12900000,null
ON,0001097864,2017,Q3,10-Q,2017-11-06,2016-09-30,2016-01-01,0001193125-17-333825,2645900000,71200000,0.17,0.17,180400000,912400000,null,null,6924400000,5046500000,1823200000,617600000,351800000,160800000,3191100000,null,1733500000,732000000,89600000,null
ON,0001097864,2018,FY,10-K,2019-02-20,2016-12-31,2016-01-01,0001193125-19-045025,3906900000,182100000,0.44,0.43,246800000,1300500000,null,null,7195100000,4394100000,2778800000,1028100000,581100000,210700000,2939000000,null,2606400000,1053700000,-3900000,null
ON,0001097864,2018,Q1,10-Q,2018-04-30,2017-03-31,2017-01-01,0001193125-18-141784,1436700000,78200000,0.19,0.18,183100000,503100000,null,null,7195100000,4394100000,2778800000,1028100000,208500000,52700000,3043500000,null,933600000,320000000,36300000,null
