ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
ORLY,0000898173,2016,FY,10-K,2017-02-28,2014-12-31,2014-01-01,0000898173-17-000091,null,778182000,7.46,7.34,1270374000,3708901000,null,2438527000,6676684000,null,1966321000,231318000,1190430000,429987000,1900000000,null,null,null,444000000,161078000
ORLY,0000898173,2016,Q1,10-Q,2016-05-09,2015-03-31,2015-01-01,0000898173-16-000311,null,212864000,2.09,2.06,350373000,986959000,null,636586000,6676684000,null,1961314000,250560000,406025000,91140000,1900000000,null,null,null,124800000,161078000
ORLY,0000898173,2016,Q2,10-Q,2016-08-08,2015-06-30,2015-01-01,0000898173-16-000359,null,446372000,4.42,4.35,736141000,2045750000,null,1309609000,6676684000,null,1961314000,250560000,698453000,186531000,1900000000,null,null,null,263500000,161078000
ORLY,0000898173,2016,Q3,10-Q,2016-11-08,2015-09-30,2015-01-01,0000898173-16-000385,null,712640000,7.09,6.98,1151401000,3135004000,null,1983603000,6676684000,null,1961314000,250560000,1062722000,296474000,1900000000,null,null,null,398100000,161078000
ORLY,0000898173,2017,FY,10-K,2018-02-28,2015-12-31,2015-01-01,0000898173-18-000077,null,931216000,9.32,9.17,1514021000,4162643000,null,2648622000,7204189000,null,2018418000,250560000,1345488000,414020000,null,null,null,null,529150000,197274000
ORLY,0000898173,2017,Q1,10-Q,2017-05-08,2016-03-31,2016-01-01,0000898173-17-000113,null,255374000,2.63,2.59,418626000,1097579000,null,678953000,7204189000,null,1627136000,116301000,503121000,103974000,null,null,null,null,150200000,197274000
ORLY,0000898173,2017,Q2,10-Q,2017-08-07,2016-06-30,2016-01-01,0000898173-17-000154,null,513168000,5.31,5.24,843687000,2224758000,null,1381071000,7204189000,null,1627136000,116301000,828734000,220416000,null,null,null,null,301200000,197274000
ORLY,0000898173,2017,Q3,10-Q,2017-11-07,2016-09-30,2016-01-01,0000898173-17-000178,null,791661000,8.25,8.14,1291496000,3394784000,null,2103288000,7204189000,null,1627136000,116301000,1214259000,356234000,null,null,null,null,454600000,197274000
ORLY,0000898173,2018,FY,10-K,2019-02-27,2016-12-31,2016-01-01,0000898173-19-000060,null,1037691000,10.87,10.73,1699206000,4509011000,null,2809805000,7571885000,null,1961314000,116301000,1510713000,476344000,null,null,null,null,599500000,216251000
ORLY,0000898173,2018,Q1,10-Q,2018-05-07,2017-03-31,2017-01-01,0000898173-18-000103,null,264934000,2.88,2.83,403157000,1131147000,null,727990000,7571885000,null,653046000,146598000,376700000,110632000,null,null,null,null,120290000,216251000
ORLY,0000898173,2018,Q2,10-Q,2018-08-08,2017-06-30,2017-01-01,0000898173-18-000168,null,547755000,6.02,5.93,860602000,2331209000,null,1470607000,7571885000,null,653046000,146598000,710507000,227506000,null,null,null,null,273795000,216251000
ORLY,0000898173,2018,Q3,10-Q,2018-11-07,2017-09-30,2017-01-01,0000898173-18-000198,null,831489000,9.28,9.15,1322565000,3561503000,null,2238938000,7571885000,null,1627136000,146598000,1087419000,347756000,null,null,null,null,429591000,216251000
ORLY,0000898173,2019,FY,10-K,2020-02-28,2017-12-31,2017-01-01,0000898173-20-000007,null,1133804000,12.82,12.67,1725400000,4720683000,null,2995283000,7980789000,null,1627136000,31315000,1403687000,465940000,null,null,null,null,504000000,192026000
ORLY,0000898173,2019,Q1,10-Q,2019-05-06,2018-03-31,2018-01-01,0000898173-19-000089,null,304906000,3.65,3.61,422846000,1201258000,null,778412000,7980789000,null,653046000,46348000,432277000,114843000,null,null,null,null,90500000,192026000
ORLY,0000898173,2019,Q2,10-Q,2019-08-08,2018-06-30,2018-01-01,0000898173-19-000127,null,657979000,7.96,7.89,901996000,2489896000,null,1587900000,7980789000,null,653046000,46348000,875233000,224117000,null,null,null,null,187300000,192026000
ORLY,0000898173,2019,Q3,10-Q,2019-11-06,2018-09-30,2018-01-01,0000898173-19-000166,null,1024130000,12.5,12.36,1387144000,3805651000,null,2418507000,7980789000,null,653046000,46348000,1342019000,350461000,null,null,null,null,276800000,192026000
ORLY,0000898173,2020,FY,10-K,2021-02-26,2018-12-31,2018-01-01,0000898173-21-000012,null,1324487000,16.27,16.1,1815184000,5039966000,null,3224782000,10717160000,null,653046000,40406000,1727555000,504268000,null,null,null,null,369600000,214915000
ORLY,0000898173,2020,Q1,10-Q,2020-05-08,2019-03-31,2019-01-01,0000898173-20-000027,null,321152000,4.09,4.05,444786000,1279290000,null,834504000,10717160000,null,353667000,40406000,440622000,152914000,null,null,null,null,93000000,214915000
ORLY,0000898173,2020,Q2,10-Q,2020-08-07,2019-06-30,2019-01-01,0001558370-20-009976,null,674833000,8.65,8.56,942860000,2647577000,null,1704717000,10717160000,null,353667000,40406000,847004000,295608000,null,null,null,null,204290000,214915000
ORLY,0000898173,2020,Q3,10-Q,2020-11-06,2019-09-30,2019-01-01,0000898173-20-000059,null,1066126000,13.77,13.63,1479223000,4070107000,null,2590884000,10717160000,null,353667000,40406000,1489676000,481207000,3890527000,null,null,null,314890000,214915000
ORLY,0000898173,2021,FY,10-K,2022-02-28,2019-12-31,2019-01-01,0000898173-22-000012,null,1391042000,18.07,17.88,1920726000,5394691000,null,3473965000,11596642000,null,353667000,465640000,1708479000,628057000,null,null,null,null,399287000,229679000
ORLY,0000898173,2021,Q1,10-Q,2021-05-07,2020-03-31,2020-01-01,0000898173-21-000026,null,300438000,4,3.97,423561000,1295906000,null,872345000,11596642000,null,397340000,465640000,459093000,133284000,4123217000,null,null,null,79222000,229679000
ORLY,0000898173,2021,Q2,10-Q,2021-08-06,2020-06-30,2020-01-01,0000898173-21-000045,null,832105000,11.15,11.06,1160051000,2933086000,null,1773035000,11596642000,null,397340000,465640000,1559078000,244471000,null,null,null,null,247965000,229679000
ORLY,0000898173,2021,Q3,10-Q,2021-11-08,2020-09-30,2020-01-01,0000898173-21-000055,null,1359357000,18.28,18.12,1885064000,4613554000,null,2728490000,11596642000,null,397340000,465640000,2349129000,363425000,null,null,null,null,407119000,229679000
ORLY,0000898173,2022,FY,10-K,2023-02-28,2020-12-31,2020-01-01,0000898173-23-000011,null,1752302000,23.74,23.53,2419336000,6085692000,null,3666356000,11718707000,null,397340000,362113000,2836603000,465579000,null,null,null,null,514103000,272562000
ORLY,0000898173,2022,Q1,10-Q,2022-05-09,2021-03-31,2021-01-01,0000898173-22-000022,null,501609000,7.13,7.06,691105000,1640795000,null,949690000,11718707000,null,140258000,362113000,890672000,94879000,null,null,null,null,154218000,272562000
