ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
PANW,0001327567,2016,FY,10-K,2016-09-08,2014-07-31,2013-08-01,0001327567-16-000064,598200000,-226500000,null,null,-215300000,438600000,104800000,null,1965200000,null,487900000,310600000,88400000,null,487100000,null,null,653900000,4300000,212400000
PANW,0001327567,2016,Q1,10-Q,2015-11-24,2014-10-31,2014-08-01,0001327567-15-000036,null,-30100000,null,null,-23800000,138900000,37300000,null,1965200000,null,487900000,653800000,74900000,null,487100000,null,null,162700000,1200000,212400000
PANW,0001327567,2016,Q2,10-Q,2016-02-26,2015-01-31,2014-08-01,0001327567-16-000048,null,-73100000,null,null,-62300000,297200000,84300000,null,1965200000,null,487900000,653800000,151800000,null,487100000,null,null,359500000,500000,212400000
PANW,0001327567,2016,Q3,10-Q,2016-05-27,2015-04-30,2014-08-01,0001327567-16-000053,null,-119000000,null,null,-99000000,467000000,132700000,null,1965200000,null,487900000,653800000,239000000,null,487100000,null,null,566000000,4000000,212400000
PANW,0001327567,2017,FY,10-K,2017-09-07,2015-07-31,2014-08-01,0001327567-17-000027,928100000,-131300000,null,null,-99800000,676600000,185800000,null,2858200000,null,894900000,653800000,352800000,null,500200000,null,null,776400000,9400000,348700000
PANW,0001327567,2017,Q1,10-Q,2016-11-22,2015-10-31,2015-08-01,0001327567-16-000073,null,-39900000,null,null,-32000000,218000000,59700000,null,2858200000,null,894900000,375800000,146700000,null,500200000,null,null,250000000,4300000,348700000
PANW,0001327567,2017,Q2,10-Q,2017-03-01,2016-01-31,2015-08-01,0001327567-17-000007,null,-97200000,null,null,-82100000,458500000,133700000,null,2858200000,null,894900000,375800000,301000000,null,500200000,null,null,540600000,8200000,348700000
PANW,0001327567,2017,Q3,10-Q,2017-06-01,2016-04-30,2015-08-01,0001327567-17-000018,null,-161300000,null,null,-134600000,709400000,207700000,null,2858200000,null,894900000,375800000,471300000,null,500200000,null,null,844000000,15000000,348700000
PANW,0001327567,2018,FY,10-K,2018-09-13,2016-07-31,2015-08-01,0001327567-18-000024,1378500000,-192700000,null,null,-157300000,1008500000,284200000,null,3438300000,null,759600000,375800000,658600000,null,524700000,null,null,1165800000,20400000,432100000
PANW,0001327567,2018,Q1,10-Q,2017-11-21,2016-10-31,2016-08-01,0001327567-17-000035,null,-56900000,null,null,-49000000,296900000,84200000,null,3438300000,null,759600000,734400000,203500000,null,524700000,null,null,345900000,4400000,432100000
