ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
PAYX,0000723531,2016,FY,10-K,2016-07-22,2014-05-31,2013-06-01,0000723531-16-000046,2518900000,null,1.72,1.71,982700000,null,null,803700000,6467500000,4682000000,1773700000,107300000,null,84100000,null,null,null,1536200000,360600000,null
PAYX,0000723531,2016,Q1,10-Q,2015-09-30,2014-08-31,2014-06-01,0000723531-15-000015,666800000,171300000,0.47,0.47,267500000,null,null,205000000,6482500000,4697000000,1785500000,152500000,null,24900000,null,null,null,399300000,97600000,176600000
PAYX,0000723531,2016,Q2,10-Q,2015-12-23,2014-11-30,2014-06-01,0000723531-15-000030,1343100000,344300000,0.95,0.94,537700000,null,null,412000000,6482500000,4697000000,1785500000,152500000,null,45600000,null,null,null,805400000,196200000,176600000
PAYX,0000723531,2016,Q3,10-Q,2016-03-30,2015-02-28,2014-06-01,0000723531-16-000034,2047400000,513700000,1.41,1.41,802000000,null,null,641000000,6482500000,4697000000,1785500000,152500000,null,72000000,null,null,null,1245400000,292700000,176600000
PAYX,0000723531,2017,FY,10-K,2017-07-21,2015-05-31,2014-06-01,0000723531-17-000023,2739600000,null,1.86,1.85,1053600000,null,null,878000000,6440800000,4529100000,1777000000,152500000,null,102800000,null,null,null,1686000000,385100000,null
PAYX,0000723531,2017,Q1,10-Q,2016-09-30,2015-08-31,2015-06-01,0000723531-16-000053,723000000,null,0.58,0.58,296100000,null,null,221200000,6440800000,4529100000,1911700000,170000000,null,21200000,null,null,null,426900000,88400000,null
PAYX,0000723531,2017,Q2,10-Q,2016-12-23,2015-11-30,2015-06-01,0000723531-16-000061,1445400000,null,1.1,1.1,590300000,null,null,444200000,6440800000,4529100000,1911700000,170000000,null,48500000,null,null,null,855100000,195000000,null
PAYX,0000723531,2017,Q3,10-Q,2017-03-31,2016-02-29,2015-06-01,0000723531-17-000010,2198000000,null,1.6,1.6,870300000,null,null,690900000,6440800000,4529100000,1911700000,170000000,null,70000000,null,null,null,1327700000,296300000,null
PAYX,0000723531,2018,FY,10-K,2018-07-20,2016-05-31,2015-06-01,0000723531-18-000026,2951900000,null,2.1,2.09,1146600000,null,null,948200000,6833700000,4878400000,1785500000,170000000,1018200000,97700000,null,null,null,1805300000,394300000,null
PAYX,0000723531,2018,Q1,10-Q,2017-10-06,2016-08-31,2016-06-01,0000723531-17-000038,785500000,null,0.6,0.6,323000000,null,null,237400000,6833700000,4878400000,1955300000,131500000,null,20300000,null,null,null,462500000,107100000,null
PAYX,0000723531,2018,Q2,10-Q,2017-12-21,2016-11-30,2016-06-01,0000723531-17-000059,1556900000,null,1.16,1.16,634100000,null,null,471400000,6833700000,4878400000,1955300000,131500000,null,46800000,null,null,null,922800000,217000000,null
PAYX,0000723531,2018,Q3,10-Q,2018-03-28,2017-02-28,2016-06-01,0000723531-18-000009,2352700000,null,1.73,1.71,940700000,null,null,723800000,6833700000,4878400000,1955300000,131500000,769300000,66800000,null,null,null,1412000000,322300000,null
PAYX,0000723531,2019,FY,10-K,2019-07-24,2017-05-31,2016-06-01,0000723531-19-000032,3153000000,null,2.3,2.28,1253900000,null,null,979700000,7915400000,5558600000,1911700000,184600000,960400000,94300000,796400000,null,null,1899100000,432800000,null
PAYX,0000723531,2019,Q1,10-Q,2018-10-05,2017-08-31,2017-06-01,0000723531-18-000034,792900000,null,0.59,0.58,317300000,null,null,243600000,7915400000,5558600000,2356800000,184600000,343600000,18000000,null,null,null,475600000,109000000,null
PAYX,0000723531,2019,Q2,10-Q,2018-12-21,2017-11-30,2017-06-01,0000723531-18-000048,1595900000,null,1.14,1.13,620400000,null,null,494900000,7915400000,5558600000,2356800000,184600000,519400000,95500000,null,null,null,975500000,215000000,null
PAYX,0000723531,2019,Q3,10-Q,2019-03-29,2018-02-28,2017-06-01,0000723531-19-000015,2532000000,null,2.16,2.15,989400000,null,null,789800000,7915400000,5558600000,2227200000,323900000,988900000,122000000,null,null,null,1542600000,219100000,null
PAYX,0000723531,2020,FY,10-K,2020-07-17,2018-05-31,2017-06-01,0000723531-20-000048,3377700000,null,2.77,2.75,1291500000,null,null,1068000000,8676000000,6056500000,2227200000,358200000,1276400000,154000000,796400000,null,1018200000,null,306000000,null
PAYX,0000723531,2020,Q1,10-Q,2019-10-04,2018-08-31,2018-06-01,0000723531-19-000046,862800000,null,0.68,0.67,320300000,null,null,277000000,8676000000,6056500000,2356800000,440100000,273700000,24400000,796400000,null,null,542500000,79000000,null
PAYX,0000723531,2020,Q2,10-Q,2019-12-20,2018-11-30,2018-06-01,0000723531-19-000057,1721700000,null,1.34,1.33,627500000,null,null,563800000,8676000000,6056500000,2356800000,510600000,497200000,60800000,796400000,null,null,1094200000,152500000,null
PAYX,0000723531,2020,Q3,10-Q,2020-03-27,2019-02-28,2018-06-01,0000723531-20-000017,2792100000,null,2.24,2.22,1056800000,null,null,879600000,8676000000,6056500000,2356800000,696400000,1022800000,88000000,796400000,null,null,1735300000,253500000,null
PAYX,0000723531,2021,FY,10-K,2021-07-16,2019-05-31,2018-06-01,0000723531-21-000035,3772500000,null,2.88,2.86,1371300000,null,null,1223400000,8550700000,5769300000,2356800000,673600000,1271500000,123800000,796800000,null,1177800000,null,333600000,null
PAYX,0000723531,2021,Q1,10-Q,2020-10-09,2019-08-31,2019-06-01,0000723531-20-000059,992000000,null,0.74,0.73,349100000,null,null,317500000,8550700000,5769300000,2619500000,586400000,294800000,26400000,null,null,325400000,null,80100000,null
PAYX,0000723531,2021,Q2,10-Q,2020-12-23,2019-11-30,2019-06-01,0000723531-20-000075,1982700000,null,1.46,1.45,690800000,null,null,643100000,8550700000,5769300000,2619500000,600600000,564600000,59900000,null,null,648800000,null,158400000,null
PAYX,0000723531,2021,Q3,10-Q,2021-04-07,2020-02-29,2019-06-01,0000723531-21-000016,3125400000,null,2.45,2.43,1160900000,null,null,975400000,8550700000,5769300000,2619500000,780000000,1052700000,91900000,null,null,989100000,null,268100000,null
PAYX,0000723531,2022,FY,10-K,2022-07-15,2020-05-31,2019-06-01,0000950170-22-012734,4040500000,null,3.06,3.04,1460500000,null,null,1299200000,9227200000,6279200000,2619500000,905200000,1440900000,127000000,797300000,null,1280800000,null,339000000,null
PAYX,0000723531,2022,Q1,10-Q,2021-10-01,2020-08-31,2020-06-01,0000723531-21-000050,932200000,null,0.59,0.59,284000000,null,null,341100000,9227200000,6279200000,2781400000,835700000,215000000,20700000,null,null,307100000,null,64500000,null
PAYX,0000723531,2022,Q2,10-Q,2021-12-22,2020-11-30,2020-06-01,0000723531-21-000064,1915900000,null,1.35,1.34,638300000,null,null,650600000,9227200000,6279200000,2781400000,693500000,430700000,54600000,null,null,627000000,null,141700000,null
PAYX,0000723531,2022,Q3,10-Q,2022-03-31,2021-02-28,2020-06-01,0000950170-22-005198,3027600000,null,2.32,2.31,1106900000,null,null,965300000,9227200000,6279200000,2781400000,787000000,870600000,86900000,null,null,955400000,null,253800000,null
PAYX,0000723531,2023,FY,10-K,2023-07-14,2021-05-31,2020-06-01,0000950170-23-032988,4056800000,null,3.05,3.03,1460700000,null,null,1324900000,9635200000,6550000000,2781400000,995200000,1260300000,118400000,797700000,null,1271200000,null,336700000,null
PAYX,0000723531,2023,Q1,10-Q,2022-09-29,2021-08-31,2021-06-01,0000950170-22-019048,1082900000,null,0.93,0.92,442900000,null,null,327500000,9635200000,6550000000,2948000000,1102000000,385600000,30400000,null,null,312500000,null,110300000,null
PAYX,0000723531,2023,Q2,10-Q,2022-12-22,2021-11-30,2021-06-01,0000950170-22-026948,2191400000,null,1.85,1.83,883200000,null,null,664100000,9635200000,6550000000,2948000000,636200000,555400000,64600000,null,null,644100000,null,215800000,null
PAYX,0000723531,2023,Q3,10-Q,2023-03-30,2022-02-28,2021-06-01,0000950170-23-010925,3467400000,null,3.04,3.02,1446000000,null,null,1025100000,9635200000,6550000000,2948000000,267500000,1168300000,99300000,null,null,996300000,null,339400000,null
PAYX,0000723531,2024,FY,10-K,2024-07-11,2022-05-31,2021-06-01,0000950170-24-082958,4611700000,null,3.86,3.84,1840000000,null,null,1415400000,10546400000,7053200000,2948000000,370000000,1589700000,133800000,798200000,null,1356300000,null,431800000,null
