ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
PCAR,0000075362,2016,FY,10-K,2017-02-21,2014-12-31,2014-01-01,0001193125-17-050405,18997000000,1358800000,3.83,3.82,null,null,null,null,20618800000,null,6753200000,1750100000,null,298200000,null,null,null,null,658800000,null
PCAR,0000075362,2016,Q1,10-Q,2016-05-04,2015-03-31,2015-01-01,0001193125-16-577596,4832700000,378400000,1.07,1.06,null,null,null,null,21109800000,null,6940400000,1737600000,null,54800000,null,null,null,null,183300000,null
PCAR,0000075362,2016,Q2,10-Q,2016-08-03,2015-06-30,2015-01-01,0001193125-16-670077,9912600000,825600000,2.32,2.32,null,null,null,null,21109800000,null,6940400000,1737600000,null,99400000,null,null,null,null,388300000,null
PCAR,0000075362,2016,Q3,10-Q,2016-11-04,2015-09-30,2015-01-01,0001193125-16-760179,14759800000,1256800000,3.54,3.53,null,null,null,null,21109800000,null,6940400000,1737600000,null,187500000,null,null,null,null,581600000,null
PCAR,0000075362,2017,FY,10-K,2018-02-21,2015-12-31,2015-01-01,0001564590-18-002675,19115100000,1604000000,4.52,4.51,null,null,null,null,21109800000,null,6940400000,1737600000,null,286700000,null,null,null,null,733100000,null
PCAR,0000075362,2017,Q1,10-Q,2017-05-04,2016-03-31,2016-01-01,0001193125-17-158733,4300000000,-594600000,-1.69,-1.69,null,null,null,null,20638900000,null,6777600000,2016400000,null,77300000,null,null,null,null,165000000,null
PCAR,0000075362,2017,Q2,10-Q,2017-08-04,2016-06-30,2016-01-01,0001193125-17-248773,8713200000,-113300000,-0.32,-0.32,null,null,null,null,20638900000,null,6777600000,2016400000,null,152000000,null,null,null,null,329900000,null
PCAR,0000075362,2017,Q3,10-Q,2017-11-03,2016-09-30,2016-01-01,0001564590-17-021522,12962600000,232900000,0.66,0.66,null,null,null,null,20638900000,null,6777600000,2016400000,null,242000000,null,null,null,null,478600000,null
PCAR,0000075362,2018,FY,10-K,2019-02-21,2016-12-31,2016-01-01,0001564590-19-003670,17033300000,521700000,1.49,1.48,null,null,null,null,20638900000,null,6777600000,2016400000,2300800000,375200000,null,null,null,null,608700000,null
PCAR,0000075362,2018,Q1,10-Q,2018-05-04,2017-03-31,2017-01-01,0001564590-18-010845,4237900000,310300000,0.88,0.88,null,null,null,null,23440200000,null,8050500000,1915700000,null,92700000,null,null,null,null,137900000,null
PCAR,0000075362,2018,Q2,10-Q,2018-08-03,2017-06-30,2017-01-01,0001564590-18-019160,8942100000,683300000,1.94,1.94,null,null,null,null,23440200000,null,8050500000,1915700000,1185200000,188300000,null,null,null,null,303900000,null
PCAR,0000075362,2018,Q3,10-Q,2018-11-02,2017-09-30,2017-01-01,0001564590-18-026487,14001800000,1086000000,3.09,3.08,null,null,null,null,23440200000,null,8050500000,1915700000,1822500000,295900000,null,null,null,null,483000000,null
PCAR,0000075362,2019,FY,10-K,2020-02-19,2017-12-31,2017-01-01,0001564590-20-005276,19456400000,1675200000,4.76,4.75,null,null,null,null,23440200000,null,8050500000,null,2715800000,423400000,null,null,null,null,498100000,null
PCAR,0000075362,2019,Q1,10-Q,2019-05-02,2018-03-31,2018-01-01,0001564590-19-015329,5654000000,512100000,1.45,1.45,null,null,null,null,25482400000,null,8567300000,2364700000,525300000,98400000,null,null,null,null,157300000,null
PCAR,0000075362,2019,Q2,10-Q,2019-08-02,2018-06-30,2018-01-01,0001564590-19-028370,11459200000,1071700000,3.04,3.04,null,null,null,null,25482400000,null,8779400000,2364700000,1198500000,221600000,null,null,null,null,317300000,null
PCAR,0000075362,2019,Q3,10-Q,2019-10-30,2018-09-30,2018-01-01,0001564590-19-038819,17216000000,1617000000,4.6,4.59,null,null,null,null,25482400000,null,9171000000,null,1927200000,334500000,null,null,null,null,440800000,null
PCAR,0000075362,2020,FY,10-K,2021-02-17,2018-12-31,2018-01-01,0001564590-21-006370,23495700000,2195100000,6.25,6.24,null,null,null,null,25482400000,null,8592900000,null,2992300000,457600000,null,null,null,null,615100000,null
PCAR,0000075362,2020,Q1,10-Q,2020-05-04,2019-03-31,2019-01-01,0001564590-20-020820,6487600000,629000000,1.81,1.81,null,null,null,null,28361100000,null,9105500000,null,363000000,102800000,null,null,null,null,190400000,null
