ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
PEP,0000077476,2016,FY,10-K,2017-02-15,2014-12-27,2013-12-29,0000077476-17-000010,null,6513000000,4.31,4.27,9581000000,35445000000,718000000,25772000000,69667000000,57637000000,12068000000,9375000000,10506000000,null,32322000000,2913000000,null,null,2199000000,null
PEP,0000077476,2016,Q1,10-Q,2016-04-18,2015-03-21,2014-12-28,0000077476-16-000074,null,1221000000,0.82,0.81,1797000000,6714000000,null,4901000000,69667000000,57637000000,12068000000,6134000000,270000000,null,null,2913000000,null,null,370000000,null
PEP,0000077476,2016,Q2,10-Q,2016-07-07,2015-06-13,2014-12-28,0000077476-16-000094,null,3201000000,2.16,2.14,4697000000,15386000000,null,10654000000,69667000000,57637000000,12068000000,6134000000,2761000000,null,null,2913000000,null,null,1073000000,null
PEP,0000077476,2016,Q3,10-Q,2016-09-29,2015-09-05,2014-12-28,0000077476-16-000107,null,3734000000,2.53,2.5,6113000000,24227000000,null,16702000000,69667000000,57637000000,12068000000,6134000000,6775000000,null,null,2913000000,null,null,1723000000,null
PEP,0000077476,2017,FY,10-K,2018-02-13,2015-12-26,2014-12-28,0000077476-18-000012,null,5452000000,3.71,3.67,8353000000,34325000000,754000000,24613000000,73490000000,62291000000,11246000000,6134000000,10864000000,null,34454000000,6967000000,null,null,1941000000,null
PEP,0000077476,2017,Q1,10-Q,2017-04-26,2016-03-19,2015-12-27,0000077476-17-000017,null,931000000,0.64,0.64,1619000000,6711000000,null,5078000000,73490000000,62291000000,11246000000,9096000000,305000000,null,null,6967000000,null,null,442000000,null
PEP,0000077476,2017,Q2,10-Q,2017-07-11,2016-06-11,2015-12-27,0000077476-17-000033,null,2936000000,2.03,2.01,4583000000,15276000000,null,10662000000,73490000000,62291000000,11246000000,9096000000,3107000000,null,null,6967000000,null,null,1160000000,null
PEP,0000077476,2017,Q3,10-Q,2017-10-04,2016-09-03,2015-12-27,0000077476-17-000048,null,4928000000,3.41,3.39,7404000000,24019000000,null,16566000000,73490000000,62291000000,11246000000,9096000000,6824000000,null,null,6967000000,null,null,1760000000,null
PEP,0000077476,2018,FY,10-K,2019-02-15,2016-12-31,2015-12-27,0000077476-19-000017,62799000000,6329000000,4.39,4.36,9804000000,34577000000,760000000,24773000000,79804000000,68823000000,11045000000,10610000000,10663000000,null,37816000000,8900000000,null,null,2174000000,null
PEP,0000077476,2018,Q1,10-Q,2018-04-26,2017-03-25,2017-01-01,0000077476-18-000032,null,1318000000,0.92,0.91,1863000000,6759000000,null,4896000000,79804000000,68823000000,11045000000,10610000000,-193000000,null,null,8900000000,null,null,392000000,null
PEP,0000077476,2018,Q2,10-Q,2018-07-10,2017-06-17,2017-01-01,0000077476-18-000055,27759000000,3423000000,2.4,2.38,4782000000,15410000000,null,10628000000,79804000000,68823000000,11045000000,10610000000,2251000000,null,null,8900000000,null,null,1048000000,null
PEP,0000077476,2018,Q3,10-Q,2018-10-02,2017-09-09,2017-01-01,0000077476-18-000076,43999000000,5567000000,3.9,3.87,7706000000,24282000000,null,16576000000,79804000000,68823000000,11045000000,10610000000,6087000000,null,null,8900000000,null,null,1668000000,null
PEP,0000077476,2019,FY,10-K,2020-02-13,2017-12-30,2017-01-01,0000077476-20-000015,63525000000,4857000000,3.4,3.38,10276000000,34729000000,737000000,24453000000,77648000000,63046000000,14518000000,8721000000,10030000000,null,32248000000,272000000,null,null,4694000000,null
PEP,0000077476,2019,Q1,10-Q,2019-04-17,2018-03-24,2017-12-31,0000077476-19-000038,12562000000,1343000000,0.94,0.94,1807000000,6907000000,null,5100000000,77648000000,63046000000,14518000000,8721000000,-1309000000,null,null,272000000,null,null,304000000,null
PEP,0000077476,2019,Q2,10-Q,2019-07-09,2018-06-16,2017-12-31,0000077476-19-000070,28652000000,3163000000,2.23,2.21,4835000000,15734000000,null,10899000000,77648000000,63046000000,14518000000,8721000000,1087000000,null,null,272000000,null,null,1374000000,null
PEP,0000077476,2019,Q3,10-Q,2019-10-03,2018-09-08,2017-12-31,0000077476-19-000093,45137000000,5661000000,3.99,3.97,7679000000,24692000000,null,17013000000,77648000000,63046000000,14518000000,8721000000,4732000000,null,null,272000000,null,null,1562000000,null
PEP,0000077476,2020,FY,10-K,2021-02-11,2018-12-29,2017-12-31,0000077476-21-000007,64661000000,12515000000,8.84,8.78,10110000000,35280000000,680000000,25170000000,78547000000,63679000000,14786000000,5509000000,9415000000,null,31996000000,229000000,null,null,-3370000000,null
PEP,0000077476,2020,Q1,10-Q,2020-04-28,2019-03-23,2018-12-30,0000077476-20-000041,12884000000,1413000000,1.01,1,2008000000,7196000000,null,5188000000,78547000000,63679000000,14786000000,5509000000,-345000000,null,null,229000000,null,null,446000000,null
PEP,0000077476,2020,Q2,10-Q,2020-07-13,2019-06-15,2018-12-30,0000077476-20-000060,29333000000,3448000000,2.46,2.44,4737000000,16241000000,null,11504000000,78547000000,63679000000,14786000000,5509000000,1388000000,null,null,229000000,null,null,970000000,null
PEP,0000077476,2020,Q3,10-Q,2020-10-01,2019-09-07,2018-12-30,0000077476-20-000068,46521000000,5548000000,3.96,3.94,7592000000,25735000000,null,18143000000,78547000000,63679000000,14786000000,5509000000,5063000000,null,null,229000000,null,null,1529000000,null
PEP,0000077476,2021,FY,10-K,2022-02-10,2019-12-28,2018-12-30,0000077476-22-000010,67161000000,7314000000,5.23,5.2,10291000000,37029000000,711000000,26738000000,92918000000,79366000000,13454000000,8185000000,9649000000,null,43728000000,1366000000,null,null,1959000000,null
PEP,0000077476,2021,Q1,10-Q,2021-04-15,2020-03-21,2019-12-29,0000077476-21-000018,13881000000,1338000000,0.96,0.96,1924000000,7754000000,null,5830000000,92918000000,79366000000,13454000000,8185000000,-749000000,null,null,1366000000,null,null,360000000,null
PEP,0000077476,2021,Q2,10-Q,2021-07-13,2020-06-13,2019-12-29,0000077476-21-000039,29826000000,2984000000,2.15,2.14,4243000000,16611000000,null,12368000000,92918000000,79366000000,13454000000,8185000000,1462000000,null,null,1366000000,null,null,870000000,null
PEP,0000077476,2021,Q3,10-Q,2021-10-05,2020-09-05,2019-12-29,0000077476-21-000050,47917000000,5275000000,3.8,3.79,7254000000,26546000000,null,19292000000,92918000000,79366000000,13454000000,8185000000,6123000000,null,null,1366000000,null,null,1396000000,null
PEP,0000077476,2022,FY,10-K,2023-02-09,2020-12-26,2019-12-29,0000077476-23-000007,70372000000,7120000000,5.14,5.12,10080000000,38575000000,719000000,28453000000,92377000000,76226000000,16043000000,5596000000,10613000000,null,39898000000,392000000,null,null,1894000000,null
