ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
PLTR,0001321655,2020,FY,10-K,2021-02-26,2018-12-31,2018-01-01,0001193125-21-060650,null,-580027000,-1.11,-1.17,-623440000,430008000,285451000,null,1594025000,1447436000,-1501562000,1116342000,-39012000,13004000,null,null,165401000,1053448000,9102000,50315000
PLTR,0001321655,2020,Q3,10-Q,2020-11-13,2019-09-30,2019-01-01,0001193125-20-292177,null,-420319000,-0.73,-0.73,-428993000,346726000,229728000,null,1594025000,1447436000,-1751428000,507319000,-500048000,10947000,null,null,166471000,775719000,8485000,50315000
PLTR,0001321655,2021,FY,10-K,2022-02-24,2019-12-31,2019-01-01,0001193125-22-050913,null,-579646000,-1.02,-1.02,-576444000,500182000,305563000,null,2690504000,1167954000,-1751428000,1079154000,-165215000,13096000,null,null,242373000,1076626000,12375000,156932000
PLTR,0001321655,2021,Q1,10-Q,2021-05-12,2020-03-31,2020-01-01,0001193125-21-159222,null,-54274000,-0.09,-0.1,-70185000,165033000,65800000,null,2690504000,1167954000,-1980642000,809530000,-287184000,3016000,null,null,64294000,235218000,2557000,156932000
PLTR,0001321655,2021,Q2,10-Q,2021-08-12,2020-06-30,2020-01-01,0000950123-21-010430,null,-164729000,-0.27,-0.28,-169330000,348512000,152615000,null,2690504000,1167954000,-1980642000,1497591000,-226330000,5945000,null,null,132704000,517842000,3500000,156932000
PLTR,0001321655,2021,Q3,10-Q,2021-11-09,2020-09-30,2020-01-01,0001193125-21-323920,null,-1018048000,-1.43,-1.43,-1017107000,488538000,466530000,null,2690504000,1167954000,-1980642000,1800190000,-278320000,7475000,null,null,282044000,1505645000,-5043000,156932000
PLTR,0001321655,2022,FY,10-K,2023-02-21,2020-12-31,2020-01-01,0001321655-23-000011,null,-1166391000,-1.19,-1.2,-1173679000,740126000,560660000,null,3247450000,956420000,-1980642000,2011323000,-296608000,12236000,null,null,352547000,1913805000,-12636000,190923000
PLTR,0001321655,2022,Q1,10-Q,2022-05-09,2021-03-31,2021-01-01,0001321655-22-000006,null,-123474000,-0.07,-0.07,-114014000,267123000,98471000,null,3247450000,956420000,1522550000,2339437000,116881000,708000,null,null,74111000,381137000,3102000,190923000
PLTR,0001321655,2022,Q2,10-Q,2022-08-08,2021-06-30,2021-01-01,0001321655-22-000016,null,-262054000,-0.14,-0.14,-260162000,551839000,208995000,null,3247450000,956420000,1522550000,2341156000,139631000,1405000,null,null,165037000,812001000,-2559000,190923000
PLTR,0001321655,2022,Q3,10-Q,2022-11-07,2021-09-30,2021-01-01,0001321655-22-000032,null,-364191000,-0.19,-0.19,-352103000,857181000,303311000,null,3247450000,956420000,1522550000,2335068000,240424000,6783000,null,null,251841000,1209284000,-1121000,190923000
PLTR,0001321655,2023,FY,10-K,2024-02-20,2021-12-31,2021-01-01,0001321655-24-000022,null,-520379000,-0.27,-0.27,-411046000,1202485000,387487000,null,3461239000,818802000,2565326000,2290674000,333851000,12627000,null,null,339404000,1613531000,31885000,258346000
PLTR,0001321655,2023,Q1,10-Q,2023-05-09,2022-03-31,2022-01-01,0001321655-23-000044,null,-101379000,-0.05,-0.05,-39439000,351954000,88601000,null,3461239000,818802000,2291030000,2269411000,35477000,15215000,null,null,94403000,391393000,2023000,258346000
PLTR,0001321655,2023,Q2,10-Q,2023-08-08,2022-06-30,2022-01-01,0001321655-23-000090,null,-280708000,-0.14,-0.14,-81184000,722740000,176772000,null,3461239000,818802000,2565326000,2358393000,97908000,20673000,null,null,196627000,803924000,4611000,258346000
PLTR,0001321655,2023,Q3,10-Q,2023-11-03,2022-09-30,2022-01-01,0001321655-23-000118,null,-404583000,-0.2,-0.2,-143375000,1093009000,277635000,null,3461239000,818802000,2565326000,2411290000,144974000,35109000,null,null,304238000,1236384000,5707000,258346000
PLTR,0001321655,2024,FY,10-K,2025-02-18,2022-12-31,2022-01-01,0001321655-25-000022,null,-373705000,-0.18,-0.18,-161201000,1497322000,359679000,null,4522425000,961460000,3475561000,2598540000,223737000,40027000,null,null,408549000,1658523000,10067000,364784000
PLTR,0001321655,2024,Q1,10-Q,2024-05-07,2023-03-31,2023-01-01,0001321655-24-000071,null,16802000,0.01,0.01,4115000,417541000,90100000,null,4522425000,961460000,3475561000,1264738000,187376000,4755000,null,null,107645000,413426000,1681000,364784000
