ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
PYPL,0001633917,2016,FY,10-K,2017-02-08,2014-12-31,2014-01-01,0001633917-17-000027,null,419000000,0.34,0.34,1268000000,null,747000000,null,28881000000,15122000000,7390000000,1604000000,2220000000,492000000,null,2018000000,null,6757000000,842000000,137000000
PYPL,0001633917,2016,Q1,10-Q,2016-04-28,2015-03-31,2015-01-01,0001633917-16-000161,null,255000000,0.21,0.21,322000000,null,185000000,null,28881000000,15122000000,13759000000,2201000000,544000000,194000000,null,2018000000,null,1815000000,66000000,137000000
PYPL,0001633917,2016,Q2,10-Q,2016-07-26,2015-06-30,2015-01-01,0001633917-16-000203,null,560000000,0.46,0.46,720000000,null,387000000,null,28881000000,15122000000,13759000000,2201000000,1166000000,425000000,null,2018000000,null,3714000000,160000000,137000000
PYPL,0001633917,2016,Q3,10-Q,2016-10-25,2015-09-30,2015-01-01,0001633917-16-000243,null,861000000,0.71,0.7,1050000000,null,584000000,null,28881000000,15122000000,13759000000,2201000000,1818000000,558000000,null,2018000000,null,5642000000,209000000,137000000
PYPL,0001633917,2017,FY,10-K,2018-02-07,2015-12-31,2015-01-01,0001633917-18-000029,null,1228000000,1,1,1461000000,null,792000000,null,33103000000,18391000000,8248000000,2201000000,2546000000,722000000,null,3385000000,null,7787000000,260000000,214000000
PYPL,0001633917,2017,Q1,10-Q,2017-04-27,2016-03-31,2016-01-01,0001633917-17-000075,null,365000000,0.3,0.3,407000000,null,195000000,null,33103000000,18391000000,14712000000,1393000000,738000000,133000000,null,3385000000,null,2137000000,57000000,214000000
PYPL,0001633917,2017,Q2,10-Q,2017-07-27,2016-06-30,2016-01-01,0001633917-17-000136,null,688000000,0.57,0.56,778000000,null,404000000,null,33103000000,18391000000,14712000000,1393000000,1434000000,334000000,null,3385000000,null,4416000000,114000000,214000000
PYPL,0001633917,2017,Q3,10-Q,2017-10-24,2016-09-30,2016-01-01,0001633917-17-000171,null,1011000000,0.83,0.83,1126000000,null,619000000,null,33103000000,18391000000,14712000000,1393000000,2235000000,517000000,null,3385000000,null,6735000000,151000000,214000000
PYPL,0001633917,2018,FY,10-K,2019-02-07,2016-12-31,2016-01-01,0001633917-19-000043,null,1401000000,1.16,1.15,1586000000,null,834000000,null,40774000000,24780000000,13759000000,1590000000,3158000000,669000000,null,2812000000,null,9256000000,230000000,283000000
PYPL,0001633917,2018,Q1,10-Q,2018-04-26,2017-03-31,2017-01-01,0001633917-18-000096,null,384000000,0.32,0.32,431000000,null,214000000,null,40774000000,24780000000,15994000000,1240000000,751000000,148000000,null,2812000000,null,2544000000,54000000,283000000
PYPL,0001633917,2018,Q2,10-Q,2018-07-26,2017-06-30,2017-01-01,0001633917-18-000171,null,795000000,0.66,0.65,861000000,null,446000000,null,40774000000,24780000000,15994000000,1271000000,1672000000,322000000,null,2812000000,null,5250000000,90000000,283000000
PYPL,0001633917,2018,Q3,10-Q,2018-10-23,2017-09-30,2017-01-01,0001633917-18-000203,null,1175000000,0.98,0.96,1284000000,null,686000000,null,40774000000,24780000000,15994000000,2330000000,2678000000,487000000,null,2812000000,null,8066000000,161000000,283000000
PYPL,0001633917,2019,FY,10-K,2020-02-06,2017-12-31,2017-01-01,0001633917-20-000028,null,1795000000,1.49,1.47,2127000000,null,null,null,43332000000,27946000000,15386000000,2883000000,2531000000,667000000,null,1534000000,null,10967000000,405000000,313000000
PYPL,0001633917,2019,Q1,10-Q,2019-04-25,2018-03-31,2018-01-01,0001633917-19-000118,null,511000000,0.43,0.42,534000000,null,null,null,43332000000,27946000000,15994000000,2879000000,-349000000,178000000,null,1534000000,null,3151000000,37000000,313000000
PYPL,0001633917,2019,Q2,10-Q,2019-07-25,2018-03-31,2018-01-01,0001633917-19-000180,null,511000000,0.87,0.86,1106000000,null,null,null,43332000000,27946000000,15994000000,2840000000,-321000000,376000000,null,1534000000,null,6436000000,120000000,313000000
PYPL,0001633917,2019,Q3,10-Q,2019-10-24,2018-03-31,2018-01-01,0001633917-19-000210,null,511000000,1.24,1.22,1596000000,null,null,null,43332000000,27946000000,15994000000,8147000000,4349000000,599000000,null,1534000000,null,9629000000,217000000,313000000
PYPL,0001633917,2020,FY,10-K,2021-02-05,2018-12-31,2018-01-01,0001633917-21-000018,15451000000,2057000000,1.74,1.71,2194000000,null,null,null,51333000000,34404000000,16885000000,7575000000,5480000000,823000000,null,3412000000,null,13257000000,319000000,435000000
PYPL,0001633917,2020,Q1,10-Q,2020-05-07,2019-03-31,2019-01-01,0001633917-20-000093,null,667000000,0.57,0.56,518000000,null,null,null,51333000000,34404000000,16885000000,4515000000,1027000000,218000000,null,3412000000,null,3610000000,50000000,435000000
PYPL,0001633917,2020,Q2,10-Q,2020-07-30,2019-06-30,2019-01-01,0001633917-20-000134,8433000000,667000000,1.27,1.25,1223000000,null,null,null,51333000000,34404000000,16885000000,4909000000,2201000000,357000000,null,3412000000,null,7210000000,170000000,435000000
PYPL,0001633917,2020,Q3,10-Q,2020-11-03,2019-09-30,2019-01-01,0001633917-20-000169,12811000000,667000000,1.66,1.64,1920000000,null,null,null,51333000000,34404000000,16885000000,6877000000,3297000000,530000000,null,3412000000,null,10891000000,192000000,435000000
PYPL,0001633917,2021,FY,10-K,2022-02-03,2019-12-31,2019-01-01,0001633917-22-000027,17772000000,2459000000,2.09,2.07,2719000000,null,null,null,70379000000,50316000000,20019000000,7349000000,4071000000,704000000,null,8289000000,null,15053000000,539000000,577000000
PYPL,0001633917,2021,Q1,10-Q,2021-05-06,2020-03-31,2020-01-01,0001633917-21-000100,4618000000,84000000,0.07,0.07,398000000,null,null,null,70379000000,50316000000,20019000000,7854000000,1421000000,206000000,null,8289000000,null,4220000000,179000000,577000000
PYPL,0001633917,2021,Q2,10-Q,2021-07-29,2020-06-30,2020-01-01,0001633917-21-000149,9879000000,84000000,1.38,1.36,1349000000,null,null,null,70379000000,50316000000,20019000000,6353000000,3193000000,399000000,null,8289000000,null,8530000000,448000000,577000000
PYPL,0001633917,2021,Q3,10-Q,2021-11-09,2020-09-30,2020-01-01,0001633917-21-000169,15338000000,84000000,2.25,2.22,2326000000,null,null,null,70379000000,50316000000,20019000000,6112000000,4507000000,640000000,null,8289000000,null,13012000000,571000000,577000000
PYPL,0001633917,2022,FY,10-K,2023-02-10,2020-12-31,2020-01-01,0001633917-23-000033,21454000000,4202000000,3.58,3.54,3289000000,null,null,null,75803000000,54076000000,21727000000,4794000000,6219000000,866000000,null,4303000000,null,18165000000,863000000,800000000
PYPL,0001633917,2022,Q1,10-Q,2022-04-28,2021-03-31,2021-01-01,0001633917-22-000088,6033000000,1097000000,0.94,0.92,1042000000,null,null,null,75803000000,54076000000,21727000000,5717000000,1758000000,221000000,null,4303000000,null,4991000000,-225000000,800000000
PYPL,0001633917,2022,Q2,10-Q,2022-08-03,2021-06-30,2021-01-01,0001633917-22-000137,12271000000,1097000000,1.94,1.92,2169000000,null,null,null,75803000000,54076000000,21727000000,5745000000,3064000000,468000000,null,4303000000,null,10102000000,-53000000,800000000
PYPL,0001633917,2022,Q3,10-Q,2022-11-04,2021-09-30,2021-01-01,0001633917-22-000167,18453000000,1097000000,2.87,2.84,3212000000,null,null,null,75803000000,54076000000,21727000000,7782000000,4577000000,695000000,null,4303000000,null,15241000000,25000000,800000000
PYPL,0001633917,2023,FY,10-K,2024-02-08,2021-12-31,2021-01-01,0001633917-24-000024,25371000000,4169000000,3.55,3.52,4262000000,null,null,null,78624000000,58350000000,20274000000,5197000000,5797000000,908000000,null,3092000000,null,21109000000,-70000000,963000000
PYPL,0001633917,2023,Q1,10-Q,2023-05-09,2022-03-31,2022-01-01,0001633917-23-000072,6483000000,509000000,0.44,0.43,711000000,null,null,null,78717000000,58443000000,20274000000,4861000000,1217000000,191000000,null,3092000000,null,5772000000,120000000,963000000
PYPL,0001633917,2023,Q2,10-Q,2023-08-03,2022-06-30,2022-01-01,0001633917-23-000117,13289000000,509000000,0.14,0.14,1475000000,null,null,null,78624000000,58350000000,20274000000,4583000000,2467000000,366000000,null,3092000000,null,11814000000,510000000,963000000
PYPL,0001633917,2023,Q3,10-Q,2023-11-02,2022-09-30,2022-01-01,0001633917-23-000156,20135000000,509000000,1.29,1.29,2593000000,null,null,null,78624000000,58350000000,21727000000,6659000000,4222000000,548000000,null,3092000000,null,17542000000,758000000,963000000
PYPL,0001633917,2024,FY,10-K,2025-02-04,2022-12-31,2022-01-01,0001633917-25-000019,27518000000,2419000000,2.1,2.09,3837000000,null,null,null,82166000000,61115000000,21727000000,7776000000,5813000000,706000000,null,4979000000,null,23681000000,947000000,1069000000
PYPL,0001633917,2024,Q1,10-Q,2024-04-30,2023-03-31,2023-01-01,0001633917-24-000048,7040000000,795000000,0.7,0.7,999000000,null,null,null,82166000000,61115000000,20274000000,7101000000,1170000000,170000000,null,4979000000,null,6041000000,279000000,1069000000
PYPL,0001633917,2024,Q2,10-Q,2024-07-30,2023-06-30,2023-01-01,0001633917-24-000098,14327000000,795000000,1.63,1.62,2132000000,null,null,null,82166000000,61115000000,20274000000,5504000000,970000000,320000000,null,4979000000,null,12195000000,553000000,1069000000
PYPL,0001633917,2024,Q3,10-Q,2024-10-29,2023-09-30,2023-01-01,0001633917-24-000110,21745000000,795000000,2.56,2.55,3300000000,null,null,null,82166000000,61115000000,20274000000,6816000000,2229000000,478000000,null,4979000000,null,18445000000,774000000,1069000000
PYPL,0001633917,2025,Q1,10-Q,2025-04-29,2024-03-31,2024-01-01,0001633917-25-000064,7699000000,888000000,0.83,0.83,1168000000,null,null,null,78725000000,58308000000,21051000000,9693000000,1917000000,154000000,null,4262000000,null,6531000000,321000000,984000000
PYPL,0001633917,2025,Q2,10-Q,2025-07-29,2024-06-30,2024-01-01,0001633917-25-000161,15584000000,888000000,1.91,1.9,2493000000,null,null,null,78725000000,58308000000,21051000000,7801000000,3442000000,311000000,null,4262000000,null,13091000000,592000000,984000000
PYPL,0001633917,2025,Q3,10-Q,2025-10-28,2024-09-30,2024-01-01,0001633917-25-000196,23431000000,888000000,2.91,2.89,3884000000,null,null,null,78725000000,58308000000,21051000000,7372000000,5056000000,480000000,null,4262000000,null,19547000000,893000000,984000000
