ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
QCOM,0000804328,2016,FY,10-K,2016-11-02,2014-09-28,2013-09-30,0001234452-16-000552,26487000000,7967000000,4.73,4.65,7550000000,null,5477000000,2290000000,48574000000,19382000000,31421000000,6142000000,8887000000,null,9969000000,null,10686000000,null,1244000000,1941000000
QCOM,0000804328,2016,Q1,10-Q,2016-01-27,2014-12-28,2014-09-29,0001234452-16-000352,7099000000,1972000000,1.19,1.17,2064000000,null,1352000000,583000000,50796000000,19382000000,31421000000,7907000000,2364000000,null,9969000000,null,3047000000,null,327000000,1941000000
QCOM,0000804328,2016,Q2,10-Q,2016-04-20,2015-03-29,2014-09-29,0001234452-16-000429,13993000000,3025000000,1.83,1.8,3400000000,null,2726000000,1128000000,50796000000,19382000000,31421000000,7907000000,null,null,9969000000,null,5676000000,null,814000000,1941000000
QCOM,0000804328,2016,Q3,10-Q,2016-07-20,2015-06-28,2014-09-29,0001234452-16-000483,19825000000,4209000000,2.57,2.53,4636000000,null,4133000000,1749000000,50796000000,19382000000,31421000000,7907000000,null,null,9969000000,null,8126000000,null,1029000000,null
QCOM,0000804328,2017,FY,10-K,2017-11-01,2015-09-27,2014-09-29,0001234452-17-000190,25281000000,5271000000,3.26,3.22,5776000000,null,5490000000,2344000000,50796000000,20591000000,31778000000,7907000000,5506000000,null,10008000000,null,10378000000,null,1219000000,2194000000
QCOM,0000804328,2017,Q1,10-Q,2017-01-25,2015-12-27,2015-09-28,0001234452-17-000028,5775000000,1498000000,1,0.99,1685000000,null,1352000000,578000000,52359000000,20591000000,31778000000,7560000000,null,null,10008000000,null,2534000000,null,214000000,null
QCOM,0000804328,2017,Q2,10-Q,2017-04-19,2016-03-27,2015-09-28,0001234452-17-000077,11326000000,2662000000,1.78,1.77,3099000000,null,2653000000,1198000000,52359000000,20591000000,31778000000,7560000000,null,null,10008000000,null,4675000000,null,520000000,2194000000
QCOM,0000804328,2017,Q3,10-Q,2017-07-19,2016-06-26,2015-09-28,0001234452-17-000154,17370000000,4106000000,2.76,2.74,4691000000,null,3922000000,1817000000,52359000000,20591000000,31778000000,7560000000,null,null,10008000000,null,7210000000,null,770000000,2194000000
QCOM,0000804328,2018,FY,10-K,2018-11-07,2016-09-25,2015-09-28,0001728949-18-000095,23554000000,5705000000,3.84,3.81,6495000000,null,5151000000,2385000000,52359000000,34740000000,null,7560000000,7632000000,null,19398000000,null,9749000000,null,1131000000,3576000000
QCOM,0000804328,2018,Q1,10-Q,2018-01-31,2016-12-25,2016-09-26,0001728949-18-000011,5999000000,682000000,0.46,0.46,778000000,null,1311000000,591000000,65486000000,34740000000,null,5946000000,null,null,19398000000,null,2443000000,null,189000000,null
