ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
REGN,0000872589,2016,FY,10-K,2017-02-09,2014-12-31,2014-01-01,0001532176-17-000008,2819557000,338126000,3.36,2.98,823919000,null,1271353000,519267000,5609132000,1954295000,1964716000,535608000,752435000,null,null,null,null,null,423109000,1152489000
REGN,0000872589,2016,Q1,10-Q,2016-05-05,2015-03-31,2015-01-01,0001532176-16-000055,869612000,76021000,0.74,0.66,283553000,null,343113000,158991000,5609132000,1954295000,3654837000,648719000,-101727000,null,null,null,null,null,200502000,1152489000
REGN,0000872589,2016,Q2,10-Q,2016-08-04,2015-06-30,2015-01-01,0001532176-16-000067,1868229000,270664000,2.64,2.35,628412000,null,733443000,333579000,5609132000,1954295000,3654837000,648719000,156104000,null,null,null,null,null,333855000,1152489000
REGN,0000872589,2016,Q3,10-Q,2016-11-04,2015-09-30,2015-01-01,0001532176-16-000082,3005651000,481062000,4.68,4.18,1020834000,null,1159367000,543572000,5609132000,1954295000,3654837000,648719000,1048957000,null,null,null,null,null,516746000,1152489000
REGN,0000872589,2017,FY,10-K,2018-02-08,2015-12-31,2015-01-01,0001532176-18-000013,4103728000,636056000,6.17,5.52,1251916000,null,1620577000,838526000,6973466000,2524221000,2550251000,648719000,1330780000,null,null,null,null,null,589041000,1343368000
REGN,0000872589,2017,Q1,10-Q,2017-05-04,2016-03-31,2016-01-01,0001532176-17-000017,1200849000,181385000,1.74,1.59,329308000,null,470112000,289677000,6973466000,2524221000,4449245000,809102000,44989000,null,null,null,null,null,148766000,1343368000
REGN,0000872589,2017,Q2,10-Q,2017-08-03,2016-06-30,2016-01-01,0001532176-17-000027,2413478000,377603000,3.61,3.24,620936000,null,1030042000,581715000,6973466000,2524221000,4449245000,809102000,444488000,null,null,null,null,null,244804000,1343368000
REGN,0000872589,2017,Q3,10-Q,2017-11-08,2016-09-30,2016-01-01,0001532176-17-000034,3633600000,642407000,6.14,5.51,983738000,null,1573089000,851760000,6973466000,2524221000,4449245000,809102000,1095517000,null,null,null,null,null,345881000,1343368000
REGN,0000872589,2018,FY,10-K,2019-02-07,2016-12-31,2016-01-01,0001532176-19-000009,null,895500000,8.55,7.7,1330700000,null,2052300000,1177700000,8764300000,2620200000,3654800000,535200000,1485900000,null,null,null,null,null,434300000,1538600000
REGN,0000872589,2018,Q1,10-Q,2018-05-03,2017-03-31,2017-01-01,0001532176-18-000020,1318991000,248931000,2.36,2.16,430542000,null,507435000,296846000,8764286000,2620208000,6144078000,811773000,355901000,null,null,null,null,null,183358000,1538642000
