ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
ROP,0000882835,2016,FY,10-K,2017-02-27,2014-12-31,2014-01-01,0000882835-17-000006,null,646033000,6.47,6.4,999473000,2101899000,147900000,1102426000,8400185000,4869418000,4213050000,459720000,null,null,3271222000,null,1447595000,null,275423000,488271000
ROP,0000882835,2016,Q1,10-Q,2016-05-06,2015-03-31,2015-01-01,0000882835-16-000042,null,155773000,1.55,1.54,246896000,518161000,null,271265000,10168365000,4869418000,null,610430000,null,null,null,null,347120000,null,70608000,488271000
ROP,0000882835,2016,Q2,10-Q,2016-08-05,2015-06-30,2015-01-01,0000882835-16-000046,null,327053000,3.26,3.22,498870000,1052072000,null,553202000,10168365000,4869418000,5298947000,610430000,null,null,null,null,702750000,null,129605000,488271000
ROP,0000882835,2016,Q3,10-Q,2016-11-04,2015-09-30,2015-01-01,0000882835-16-000052,null,487470000,4.85,4.8,749241000,1585555000,null,836314000,10168365000,4869418000,5298947000,610430000,null,null,null,null,1053200000,null,199441000,488271000
ROP,0000882835,2017,FY,10-K,2018-02-23,2015-12-31,2015-01-01,0000882835-18-000011,null,696067000,6.92,6.85,1027918000,2164646000,164200000,1136728000,10168365000,8536062000,4755360000,610430000,null,null,6209536000,null,1417749000,null,306278000,619854000
ROP,0000882835,2017,Q1,10-Q,2017-05-05,2016-03-31,2016-01-01,0000882835-17-000017,null,151416000,1.5,1.48,244991000,559519000,null,314528000,14324927000,8536062000,5788865000,778511000,null,null,null,null,342904000,null,66033000,619854000
ROP,0000882835,2017,Q2,10-Q,2017-08-07,2016-06-30,2016-01-01,0000882835-17-000024,null,309485000,3.06,3.02,498069000,1127039000,null,628970000,14324927000,8536062000,5788865000,778511000,376832000,null,null,null,706942000,null,132845000,619854000
ROP,0000882835,2017,Q3,10-Q,2017-11-06,2016-09-30,2016-01-01,0000882835-17-000031,null,476564000,4.71,4.65,765459000,1705532000,null,940073000,14324927000,8536062000,5788865000,778511000,693373000,null,null,null,1073593000,null,205822000,619854000
ROP,0000882835,2018,FY,10-K,2019-02-25,2016-12-31,2016-01-01,0000882835-19-000010,null,658600000,6.5,6.43,1054600000,2332400000,195400000,1277800000,14324900000,7452800000,5298900000,778500000,963800000,null,5155500000,null,1457500000,null,282000000,641700000
ROP,0000882835,2018,Q1,10-Q,2018-05-04,2017-03-31,2017-01-01,0000882835-18-000020,null,158100000,1.55,1.53,258300000,667600000,null,409300000,14316400000,7452800000,6863600000,757200000,378200000,null,null,null,418700000,null,53200000,641700000
