ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
ROST,0000745732,2016,FY,10-K,2017-03-28,2015-01-31,2014-02-02,0000745732-17-000009,null,924724000,2.24,2.21,null,null,null,1615371000,4869119000,null,2007302000,423168000,1372865000,646691000,null,1737000,null,null,560642000,null
ROST,0000745732,2016,Q1,10-Q,2016-06-08,2015-05-02,2015-02-01,0000745732-16-000053,null,282205000,0.69,0.69,null,null,null,409298000,4923459000,null,2333499000,696608000,413988000,106928000,null,500000,null,null,177187000,null
ROST,0000745732,2016,Q1,10-Q,2016-07-07,2015-05-02,2015-02-01,0000745732-16-000055,null,282205000,0.69,0.69,null,null,null,409298000,4923459000,null,2333499000,696608000,413988000,106928000,null,500000,null,null,177187000,null
ROST,0000745732,2016,Q2,10-Q,2016-09-07,2015-08-01,2015-02-01,0000745732-16-000059,null,540844000,1.33,1.32,null,null,null,844524000,4813572000,null,2386514000,696608000,590371000,193108000,null,999000,null,null,330460000,null
ROST,0000745732,2016,Q3,10-Q,2016-12-07,2015-10-31,2015-02-01,0000745732-16-000066,null,756500000,1.87,1.85,null,null,null,1287878000,4894585000,null,2394082000,696608000,762027000,285560000,null,1413000,null,null,446531000,null
ROST,0000745732,2017,FY,10-K,2018-04-03,2016-01-30,2015-02-01,0000745732-18-000004,null,1020661000,2.53,2.51,null,null,null,1738755000,5309351000,null,2279210000,696608000,1326252000,366960000,396493000,0,null,null,591098000,null
ROST,0000745732,2017,Q1,10-Q,2017-06-07,2016-04-30,2016-01-31,0000745732-17-000026,null,290634000,0.73,0.73,null,null,null,436924000,5114177000,null,2539441000,761602000,469080000,79724000,null,1727000,null,null,180868000,null
ROST,0000745732,2017,Q2,10-Q,2017-09-06,2016-07-30,2016-01-31,0000745732-17-000030,null,572540000,1.45,1.44,null,null,null,906435000,5194234000,null,2614330000,761602000,779554000,147426000,null,1213000,null,null,354310000,null
ROST,0000745732,2017,Q3,10-Q,2017-12-06,2016-10-29,2016-01-31,0000745732-17-000034,null,817086000,2.08,2.06,null,null,null,1396606000,5349887000,null,2649522000,761602000,1029228000,220442000,null,803000,null,null,496032000,null
ROST,0000745732,2018,FY,10-K,2019-04-02,2017-01-28,2016-01-31,0000745732-19-000009,null,1117654000,2.85,2.83,null,null,null,1890408000,5722051000,null,2471991000,1111599000,1558901000,297880000,396967000,512000,null,null,668502000,null
ROST,0000745732,2018,Q1,10-Q,2018-06-13,2017-04-29,2017-01-29,0000745732-18-000019,null,321018000,0.83,0.82,null,null,null,474819000,5552975000,null,2777746000,1244219000,520861000,75971000,396611000,0,null,null,177457000,null
ROST,0000745732,2018,Q2,10-Q,2018-09-12,2017-07-29,2017-01-29,0000745732-18-000024,null,637557000,1.66,1.64,null,null,null,973095000,5514479000,null,2839884000,1150932000,797959000,169316000,396729000,0,null,null,370962000,null
ROST,0000745732,2018,Q3,10-Q,2018-12-12,2017-10-28,2017-01-29,0000745732-18-000031,null,912006000,2.38,2.36,null,null,null,1490392000,5766978000,null,2858519000,1144169000,1165686000,266863000,396848000,518000,null,null,537182000,null
ROST,0000745732,2019,FY,10-K,2020-03-31,2018-02-03,2017-01-29,0000745732-20-000016,null,1362753000,3.58,3.55,null,null,null,2043698000,6073691000,null,2748017000,1290294000,1681338000,371423000,312440000,null,null,null,677967000,null
ROST,0000745732,2019,Q1,10-Q,2019-06-12,2018-05-05,2018-02-04,0000745732-19-000030,null,418252000,1.12,1.11,null,null,null,524423000,6020836000,null,3049308000,1302836000,472050000,79793000,397086000,null,null,null,124228000,null
ROST,0000745732,2019,Q2,10-Q,2019-09-11,2018-05-05,2018-02-04,0000745732-19-000037,null,418252000,2.17,2.15,null,null,null,1079004000,5963756000,null,3049308000,1386935000,1014184000,178635000,397206000,null,null,null,252579000,null
ROST,0000745732,2019,Q3,10-Q,2019-12-11,2018-05-05,2018-02-04,0000745732-19-000045,null,418252000,3.09,3.06,null,null,null,1640581000,6235767000,null,3049308000,1349196000,1450072000,293366000,397325000,null,null,null,358124000,null
ROST,0000745732,2020,FY,10-K,2021-03-30,2019-02-02,2018-02-04,0000745732-21-000017,null,1587457000,4.3,4.26,null,null,null,2216550000,9348367000,null,3049308000,1412912000,2066677000,413898000,312891000,null,null,null,463419000,null
ROST,0000745732,2020,Q1,10-Q,2020-06-10,2019-05-04,2019-02-03,0000745732-20-000055,null,421142000,1.16,1.15,null,null,null,558250000,9049120000,null,3305746000,1366592000,508987000,95629000,312552000,null,null,null,121217000,null
ROST,0000745732,2020,Q2,10-Q,2020-09-09,2019-05-04,2019-02-03,0000745732-20-000065,null,421142000,2.31,2.29,null,null,null,1150220000,9151947000,null,3305746000,1382025000,1083463000,250314000,312665000,null,null,null,257327000,null
ROST,0000745732,2020,Q3,10-Q,2020-12-09,2019-05-04,2019-02-03,0000745732-20-000093,null,421142000,3.35,3.32,null,null,null,1754825000,9415841000,null,3305746000,1142709000,1410930000,401251000,312778000,null,null,null,368877000,null
ROST,0000745732,2021,FY,10-K,2022-03-29,2020-02-01,2019-02-03,0000745732-22-000014,null,1660928000,4.63,4.6,null,null,null,2356704000,12717867000,null,3305746000,1351205000,2171546000,555483000,2513085000,null,null,null,503360000,null
ROST,0000745732,2021,Q1,10-Q,2021-06-09,2020-05-02,2020-02-02,0000745732-21-000041,null,-305842000,-0.87,-0.87,null,null,null,415305000,10728046000,null,3359249000,2669535000,-1058442000,139729000,2285614000,null,null,null,-163447000,null
ROST,0000745732,2021,Q2,10-Q,2021-09-08,2020-05-02,2020-02-02,0000745732-21-000052,null,-305842000,-0.81,-0.81,null,null,null,934800000,11322245000,null,3359249000,3793043000,172421000,250047000,2286295000,null,null,null,-129252000,null
ROST,0000745732,2021,Q3,10-Q,2021-12-08,2020-05-02,2020-02-02,0000745732-21-000058,null,-305842000,-0.43,-0.43,null,null,null,1812657000,12570666000,null,3359249000,4416124000,1783123000,339545000,2512037000,null,null,null,-123956000,null
ROST,0000745732,2022,FY,10-K,2023-03-28,2021-01-30,2020-02-02,0000745732-23-000013,null,85382000,0.24,0.24,null,null,null,2503281000,13640256000,null,3359249000,4819293000,2245933000,405433000,2452325000,null,null,null,20915000,null
ROST,0000745732,2022,Q1,10-Q,2022-06-08,2021-05-01,2021-01-31,0000745732-22-000040,null,476479000,1.35,1.34,null,null,null,675053000,13395863000,null,3290640000,5367006000,752820000,136937000,2514145000,null,null,null,147103000,null
ROST,0000745732,2022,Q2,10-Q,2022-09-07,2021-05-01,2021-01-31,0000745732-22-000050,null,476479000,2.75,2.73,null,null,null,1392841000,13641400000,null,3290640000,5569071000,1345395000,254437000,2515209000,null,null,null,310453000,null
ROST,0000745732,2022,Q3,10-Q,2022-12-07,2021-05-01,2021-01-31,0000745732-22-000064,null,476479000,3.85,3.82,null,null,null,2118602000,13915734000,null,3290640000,5259595000,1503653000,377916000,2516274000,null,null,null,429455000,null
ROST,0000745732,2023,FY,10-K,2024-04-02,2022-01-29,2021-01-31,0000745732-24-000009,null,1722589000,4.9,4.87,null,null,null,2874469000,13416463000,null,3290640000,4922365000,1738849000,557840000,2456510000,null,null,null,535951000,null
ROST,0000745732,2023,Q1,10-Q,2023-06-07,2022-04-30,2022-01-30,0000745732-23-000040,null,338445000,0.98,0.97,null,null,null,669496000,13233698000,null,4060050000,4015567000,-416267000,109848000,2453367000,null,null,null,111017000,null
ROST,0000745732,2023,Q2,10-Q,2023-09-06,2022-04-30,2022-01-30,0000745732-23-000059,null,338445000,2.09,2.08,null,null,null,1336559000,13179922000,null,4060050000,3903670000,-56265000,243346000,2454413000,null,null,null,232244000,null
ROST,0000745732,2023,Q3,10-Q,2023-12-06,2022-04-30,2022-01-30,0000745732-23-000072,null,338445000,3.09,3.08,null,null,null,2029926000,13100095000,null,4060050000,3906490000,472667000,417901000,2455460000,null,null,null,341086000,null
ROST,0000745732,2024,FY,10-K,2025-04-01,2023-01-28,2022-01-30,0000745732-25-000010,null,1512041000,4.4,4.38,1990331000,null,null,2759268000,14300109000,null,4060050000,4551876000,1689373000,654070000,2460730000,null,null,null,475448000,null
ROST,0000745732,2024,Q1,10-Q,2024-06-12,2023-04-29,2023-01-29,0000745732-24-000035,null,371191000,1.1,1.09,null,null,null,746222000,13618904000,null,4288583000,4416480000,413152000,167253000,2457561000,null,null,null,116064000,null
ROST,0000745732,2024,Q2,10-Q,2024-09-11,2023-04-29,2023-01-29,0000745732-24-000050,null,371191000,2.42,2.41,null,null,null,1554120000,13987302000,null,4288583000,4583606000,1116281000,363459000,2458615000,null,null,null,264599000,null
ROST,0000745732,2024,Q3,10-Q,2024-12-11,2023-04-29,2023-01-29,0000745732-24-000062,null,371191000,3.76,3.74,null,null,null,2364590000,14270620000,null,4288583000,4499497000,1565735000,540458000,2459671000,null,null,null,410702000,null
ROST,0000745732,2025,Q1,10-Q,2025-06-11,2024-05-04,2024-02-04,0000745732-25-000031,null,487990000,1.47,1.46,591113000,null,null,776282000,14491782000,null,4871326000,4654316000,368921000,136249000,2461790000,null,null,null,149073000,null
ROST,0000745732,2025,Q2,10-Q,2025-09-10,2024-05-04,2024-02-04,0000745732-25-000052,null,487990000,3.07,3.05,1250346000,null,null,1612639000,14678021000,null,4871326000,4668137000,961042000,333735000,2462854000,null,null,null,324508000,null
