ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
SBUX,0000829224,2016,FY,10-K,2016-11-18,2014-09-28,2013-09-30,0000829224-16-000083,null,2068100000,1.37,1.35,3081100000,null,null,null,12416300000,6596500000,5818000000,2575700000,607800000,1160900000,2347500000,81300000,null,null,1092000000,719000000
SBUX,0000829224,2016,Q1,10-Q,2016-01-26,2014-12-28,2014-09-29,0000829224-16-000049,null,983100000,0.66,0.65,915500000,null,null,null,12416300000,6596500000,5818000000,1708400000,1425200000,291800000,2347500000,81300000,null,null,315000000,719000000
SBUX,0000829224,2016,Q2,10-Q,2016-04-26,2015-03-29,2014-09-29,0000829224-16-000062,null,1478300000,0.99,0.97,1693100000,null,null,null,12416300000,6596500000,5818000000,1708400000,2000900000,606600000,2347500000,81300000,null,null,581200000,719000000
SBUX,0000829224,2016,Q3,10-Q,2016-07-27,2015-06-28,2014-09-29,0000829224-16-000074,null,2104900000,1.4,1.39,2631600000,null,null,null,12416300000,6596500000,5818000000,1708400000,2779200000,943500000,2347500000,81300000,null,null,899700000,719000000
SBUX,0000829224,2017,FY,10-K,2017-11-17,2015-09-27,2014-09-29,0000829224-17-000049,null,2757400000,1.84,1.82,3601000000,null,null,null,14312500000,8421800000,5884000000,1708400000,3749100000,1303700000,3585200000,134400000,null,null,1143700000,768800000
SBUX,0000829224,2017,Q1,10-Q,2017-01-31,2015-12-27,2015-09-28,0000829224-17-000005,null,687600000,0.46,0.46,1058000000,null,null,null,14312500000,8421800000,5884000000,1530100000,1636000000,331800000,3585200000,134400000,null,null,361900000,768800000
SBUX,0000829224,2017,Q2,10-Q,2017-05-02,2016-03-27,2015-09-28,0000829224-17-000021,null,1262600000,0.85,0.84,1922300000,null,null,null,14312500000,8421800000,5884000000,1530100000,2185500000,668200000,3585200000,134400000,null,null,647400000,768800000
SBUX,0000829224,2017,Q3,10-Q,2017-08-01,2016-06-26,2015-09-28,0000829224-17-000036,null,2016800000,1.37,1.35,2944500000,null,null,null,14312500000,8421800000,5884000000,1530100000,3266900000,1029700000,3585200000,134400000,null,null,966200000,768800000
SBUX,0000829224,2018,FY,10-K,2018-11-16,2016-10-02,2015-09-28,0000829224-18-000052,21315900000,2817700000,1.91,1.9,4171900000,null,null,null,14312500000,8908600000,5450100000,1530100000,4697900000,1440300000,3932600000,228600000,null,null,1379700000,870400000
SBUX,0000829224,2018,Q1,10-Q,2018-01-31,2017-01-01,2016-10-03,0000829224-18-000009,null,751800000,0.52,0.51,1132600000,null,null,null,14365600000,8908600000,5450100000,2128800000,1529800000,307400000,3932600000,228600000,null,null,381400000,870400000
SBUX,0000829224,2018,Q2,10-Q,2018-05-01,2017-04-02,2016-10-03,0000829224-18-000022,null,1404900000,0.97,0.96,2068300000,null,null,null,14365600000,8908600000,5450100000,2128800000,1991700000,637900000,3932600000,228600000,null,null,709000000,870400000
