ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
SNPS,0000883241,2016,FY,10-K,2016-12-12,2014-10-31,2013-11-01,0000883241-16-000027,2057472000,259124000,1.67,1.64,248717000,1600587000,718768000,null,5045739000,1911750000,2788277000,1022441000,null,103275000,null,128747000,456885000,1351870000,13018000,385694000
SNPS,0000883241,2016,Q1,10-Q,2016-02-22,2015-01-31,2014-11-01,0000883241-16-000017,542043000,null,0.42,0.41,71499000,417410000,181610000,null,5045739000,1911750000,3133989000,985762000,null,19607000,null,128747000,124633000,345911000,11426000,385694000
SNPS,0000883241,2016,Q2,10-Q,2016-05-24,2015-04-30,2014-11-01,0000883241-16-000020,1099247000,120785000,0.78,0.77,147426000,849642000,369925000,null,5045739000,1911750000,3133989000,985762000,null,43979000,null,128747000,249605000,702216000,39714000,385694000
SNPS,0000883241,2016,Q3,10-Q,2016-08-22,2015-07-31,2014-11-01,0000883241-16-000022,1655052000,176172000,1.14,1.12,208908000,1275976000,567924000,null,5045739000,1911750000,3133989000,985762000,null,67708000,null,128747000,379076000,1067068000,49520000,385694000
SNPS,0000883241,2017,FY,10-K,2017-12-14,2015-10-31,2014-11-01,0000883241-17-000014,2242211000,225934000,1.46,1.43,266466000,1723291000,776229000,null,5240365000,2045219000,3195146000,985762000,null,86965000,null,140695000,518920000,1456825000,55676000,438873000
SNPS,0000883241,2017,Q1,10-Q,2017-02-17,2016-01-31,2015-11-01,0000883241-17-000003,568604000,60035000,0.39,0.39,71110000,439160000,196705000,null,5240365000,2045219000,3195146000,836188000,null,15337000,null,140695000,129444000,368050000,4307000,438873000
SNPS,0000883241,2017,Q2,10-Q,2017-05-19,2016-04-30,2015-11-01,0000883241-17-000005,1173609000,129411000,0.85,0.84,157916000,912535000,412877000,null,5240365000,2045219000,3195146000,836188000,null,28900000,null,140695000,261074000,754619000,32154000,438873000
SNPS,0000883241,2017,Q3,10-Q,2017-08-18,2016-07-31,2015-11-01,0000883241-17-000007,1788813000,194129000,1.28,1.26,234638000,1388062000,634751000,null,5240365000,2045219000,3195146000,836188000,null,48249000,null,140695000,400751000,1153424000,52667000,438873000
SNPS,0000883241,2018,FY,10-K,2018-12-17,2016-10-31,2015-11-01,0000883241-18-000012,2422532000,266826000,1.76,1.73,317395000,1879570000,856705000,null,5396414000,2116690000,3275620000,836188000,null,66909000,null,null,542962000,1562175000,62722000,451144000
SNPS,0000883241,2018,Q1,10-Q,2018-02-23,2017-01-31,2016-11-01,0000883241-18-000002,652786000,86588000,0.57,0.56,96874000,497040000,212648000,null,5396414000,2116690000,3275620000,976620000,null,18178000,null,null,155746000,400166000,21773000,451144000
SNPS,0000883241,2018,Q2,10-Q,2018-05-25,2017-04-30,2016-11-01,0000883241-18-000005,1332855000,139894000,0.93,0.9,150480000,1015081000,435663000,null,5396414000,2116690000,3275620000,976620000,null,31195000,null,null,317774000,864601000,30487000,451144000
SNPS,0000883241,2018,Q3,10-Q,2018-08-24,2017-07-31,2016-11-01,0000883241-18-000008,2028236000,256645000,1.71,1.66,255850000,1540916000,664326000,null,5396414000,2116690000,3275620000,976620000,null,50227000,null,null,487320000,1285066000,26527000,451144000
SNPS,0000883241,2019,FY,10-K,2019-12-20,2017-10-31,2016-11-01,0000883241-19-000019,2724880000,136563000,0.91,0.88,347563000,2070696000,908841000,null,6145974000,2660959000,3479152000,723115000,632482000,70328000,null,null,654184000,1723133000,246535000,554217000
SNPS,0000883241,2019,Q1,10-Q,2019-02-25,2018-01-31,2017-11-01,0000883241-19-000008,null,-3691000,-0.02,-0.02,107718000,588270000,264411000,null,6145974000,2660959000,3479152000,723115000,null,28316000,null,null,181156000,480552000,123794000,554217000
SNPS,0000883241,2019,Q2,10-Q,2019-05-24,2018-01-31,2017-11-01,0000883241-19-000011,null,-3691000,0.66,0.64,234732000,1186327000,516545000,null,6145974000,2660959000,3479152000,723115000,null,48612000,null,null,359935000,951595000,140621000,554217000
SNPS,0000883241,2019,Q3,10-Q,2019-08-26,2018-07-31,2017-11-01,0000883241-19-000015,null,178190000,1.2,1.16,298700000,1780660000,793947000,null,6145974000,2660959000,3479152000,723115000,293481000,70469000,null,null,545316000,1481960000,133105000,554217000
SNPS,0000883241,2020,FY,10-K,2020-12-15,2018-10-31,2017-11-01,0000883241-20-000015,3121058000,432518000,2.9,2.82,360225000,2385160000,1084822000,null,6405160000,2316284000,4083013000,728597000,424399000,98976000,null,null,735898000,2024935000,-68975000,553895000
SNPS,0000883241,2020,Q1,10-Q,2020-02-21,2019-01-31,2018-11-01,0000883241-20-000006,null,153514000,1.03,1.01,147414000,627509000,271326000,null,6405160000,2316284000,4083013000,728597000,-144019000,29007000,null,null,192892000,480095000,-6459000,553895000
SNPS,0000883241,2020,Q2,10-Q,2020-05-22,2019-04-30,2018-11-01,0000883241-20-000009,null,271724000,1.82,1.77,262916000,1273072000,561625000,null,6405160000,2316284000,4083013000,728597000,208801000,68962000,null,null,383571000,1010156000,9248000,553895000
SNPS,0000883241,2020,Q3,10-Q,2020-08-21,2019-07-31,2018-11-01,0000883241-20-000012,null,371653000,2.48,2.42,390510000,1939410000,846429000,null,6405160000,2316284000,4083013000,728597000,579264000,122358000,null,null,570203000,1548900000,42230000,553895000
