ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
TEAM,0001650372,2023,FY,10-K,2023-08-18,2021-06-30,2020-07-01,0001650372-23-000040,null,-578979000,-2.32,-2.32,141406000,1757282000,932994000,null,3326830000,2999458000,566643000,919227000,789960000,31520000,null,null,331850000,1615876000,64564000,308127000
TEAM,0001650372,2023,Q1,10-Q,2022-11-04,2021-09-30,2021-07-01,0001650372-22-000078,null,-411204000,-1.63,-1.63,56477000,517768000,272140000,null,3326830000,2999458000,313262000,1507418000,65001000,6881000,null,null,96256000,461291000,636000,308127000
TEAM,0001650372,2023,Q2,10-Q,2023-02-03,2021-12-31,2021-07-01,0001650372-23-000009,null,-433532000,-1.72,-1.72,79519000,1096103000,590709000,null,3326830000,2999458000,313262000,899394000,271456000,19462000,null,null,206447000,1016584000,2715000,308127000
TEAM,0001650372,2023,Q3,10-Q,2023-05-05,2022-03-31,2021-07-01,0001650372-23-000024,null,-428871000,-1.7,-1.7,112416000,1720531000,924870000,null,3326830000,2999458000,313262000,1194803000,606165000,45935000,null,null,322510000,1608115000,4313000,308127000
TEAM,0001650372,2024,FY,10-K,2024-08-16,2022-06-30,2021-07-01,0001650372-24-000036,null,-519510000,-2.05,-2.05,70083000,2349968000,1291877000,null,4106779000,3452107000,313262000,1385265000,821044000,70583000,null,null,452914000,2279885000,48572000,477678000
TEAM,0001650372,2024,Q1,10-Q,2023-11-03,2022-09-30,2022-07-01,0001650372-23-000060,null,-13741000,-0.05,-0.05,-34027000,668000000,399006000,null,4106779000,3452107000,327372000,1468571000,92442000,16496000,null,null,139392000,702027000,8025000,477678000
TEAM,0001650372,2024,Q2,10-Q,2024-02-02,2022-12-31,2022-07-01,0001650372-24-000010,null,-218772000,-0.86,-0.86,-133266000,1384759000,872682000,null,4106779000,3452107000,327372000,1636615000,242967000,20536000,null,null,295337000,1518025000,108523000,477678000
TEAM,0001650372,2024,Q3,10-Q,2024-04-26,2023-03-31,2022-07-01,0001650372-24-000016,null,-427809000,-1.67,-1.67,-294833000,2131560000,1395026000,null,4106779000,3452107000,327372000,1972217000,595336000,23227000,null,null,null,2426393000,162119000,477678000
TEAM,0001650372,2025,FY,10-K,2025-08-15,2023-06-30,2022-07-01,0001650372-25-000036,null,-486761000,-1.9,-1.9,-345222000,2900882000,1869881000,null,5212133000,4179282000,327372000,2102550000,868111000,25812000,null,null,null,3246104000,175625000,628049000
TEAM,0001650372,2025,Q1,10-Q,2024-11-01,2023-09-30,2023-07-01,0001650372-24-000056,null,-31883000,-0.12,-0.12,-18869000,799746000,481738000,null,5212133000,4179282000,654672000,2143530000,166956000,3669000,null,null,null,818615000,20929000,628049000
TEAM,0001650372,2025,Q2,10-Q,2025-01-31,2023-12-31,2023-07-01,0001650372-25-000009,null,-116352000,-0.45,-0.45,-67931000,1665320000,1018517000,null,5212133000,4179282000,654672000,1460497000,456550000,9002000,null,null,null,1733251000,65289000,628049000
TEAM,0001650372,2025,Q3,10-Q,2025-05-02,2024-03-31,2023-07-01,0001650372-25-000022,null,-103600000,-0.4,-0.4,-50127000,2641023000,1595007000,null,5212133000,4179282000,654672000,1948978000,1021940000,19522000,null,null,null,2691150000,72312000,628049000
TEAM,0001650372,2026,Q1,10-Q,2025-10-31,2024-09-30,2024-07-01,0001650372-25-000068,null,-123769000,-0.48,-0.48,-31978000,970157000,603101000,null,6041970000,4696316000,1032851000,2055597000,80492000,6151000,null,null,null,1002135000,93605000,778302000
