ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
TMUS,0001283699,2016,FY,10-K,2017-02-14,2014-12-31,2014-01-01,0001283699-17-000010,29564000000,247000000,0.31,0.3,1416000000,null,null,8863000000,62413000000,null,14245000000,5891000000,4146000000,4317000000,null,2998000000,null,null,166000000,1788000000
TMUS,0001283699,2016,Q1,10-Q,2016-04-26,2015-03-31,2015-01-01,0001283699-16-000083,7778000000,-63000000,-0.09,-0.09,117000000,null,null,2372000000,62413000000,null,16557000000,5315000000,489000000,982000000,null,2998000000,null,null,-41000000,1788000000
TMUS,0001283699,2016,Q2,10-Q,2016-07-27,2015-06-30,2015-01-01,0001283699-16-000100,15957000000,298000000,0.33,0.33,714000000,null,null,4810000000,62413000000,null,16557000000,5315000000,1650000000,2173000000,null,2998000000,null,null,-39000000,1788000000
TMUS,0001283699,2016,Q3,10-Q,2016-10-24,2015-09-30,2015-01-01,0001283699-16-000115,23806000000,436000000,0.49,0.48,1227000000,null,null,7434000000,62413000000,null,16557000000,5315000000,3181000000,3293000000,null,2998000000,null,null,61000000,1788000000
TMUS,0001283699,2017,FY,10-K,2018-02-08,2015-12-31,2015-01-01,0001283699-18-000011,32467000000,733000000,0.83,0.82,2479000000,null,null,10189000000,65891000000,null,15663000000,5315000000,5414000000,4724000000,null,null,null,null,245000000,1896000000
TMUS,0001283699,2017,Q1,10-Q,2017-04-24,2016-03-31,2016-01-01,0001283699-17-000022,8664000000,479000000,0.57,0.56,1168000000,null,null,2749000000,65891000000,null,18236000000,4582000000,1025000000,1335000000,27786000000,null,null,null,272000000,1896000000
TMUS,0001283699,2017,Q2,10-Q,2017-07-20,2016-06-30,2016-01-01,0001283699-17-000032,17951000000,704000000,0.82,0.81,2001000000,null,null,5521000000,65891000000,null,18236000000,4582000000,2793000000,2684000000,27786000000,null,null,null,419000000,1896000000
TMUS,0001283699,2017,Q3,10-Q,2017-10-23,2016-09-30,2016-01-01,0001283699-17-000043,27256000000,1070000000,1.25,1.24,3049000000,null,null,8419000000,65891000000,null,18236000000,4582000000,4533000000,3843000000,27786000000,null,null,null,651000000,1896000000
TMUS,0001283699,2018,FY,10-K,2019-02-07,2016-12-31,2016-01-01,0001283699-19-000015,null,1460000000,1.71,1.69,4050000000,null,null,11378000000,70563000000,null,16557000000,4582000000,2779000000,4702000000,null,null,null,null,867000000,1915000000
TMUS,0001283699,2018,Q1,10-Q,2018-05-01,2017-03-31,2017-01-01,0001283699-18-000026,9613000000,698000000,0.83,0.8,1037000000,null,null,2955000000,70563000000,null,22559000000,5500000000,608000000,1528000000,28319000000,null,null,null,-91000000,1915000000
TMUS,0001283699,2018,Q2,10-Q,2018-08-01,2017-06-30,2017-01-01,0001283699-18-000045,19826000000,1279000000,1.51,1.47,2453000000,null,null,5870000000,70563000000,null,22559000000,5500000000,1714000000,2875000000,28319000000,null,null,null,262000000,1915000000
TMUS,0001283699,2018,Q3,10-Q,2018-10-30,2017-09-30,2017-01-01,0001283699-18-000060,null,1829000000,2.15,2.1,3776000000,null,null,8968000000,70563000000,null,22559000000,5500000000,2966000000,4316000000,28319000000,null,null,null,618000000,1915000000
TMUS,0001283699,2019,FY,10-K,2020-02-06,2017-12-31,2017-01-01,0001283699-20-000026,null,4536000000,5.39,5.2,4888000000,null,null,12259000000,72468000000,null,18236000000,1203000000,3831000000,5237000000,null,null,null,null,-1375000000,1769000000
TMUS,0001283699,2019,Q1,10-Q,2019-04-25,2018-03-31,2018-01-01,0001283699-19-000077,null,671000000,0.78,0.78,1282000000,null,null,3164000000,72468000000,null,22559000000,1203000000,770000000,1366000000,null,null,null,null,210000000,1769000000
TMUS,0001283699,2019,Q2,10-Q,2019-07-26,2018-06-30,2018-01-01,0001283699-19-000109,null,1453000000,1.71,1.69,2732000000,null,null,6349000000,72468000000,null,22559000000,1203000000,2031000000,2995000000,null,null,null,null,496000000,1769000000
TMUS,0001283699,2019,Q3,10-Q,2019-10-28,2018-09-30,2018-01-01,0001283699-19-000119,null,2248000000,2.65,2.62,4172000000,null,null,9663000000,72468000000,null,22559000000,1203000000,2945000000,4357000000,null,null,null,null,831000000,1769000000
TMUS,0001283699,2020,FY,10-Q,2020-05-06,2019-03-31,2019-01-01,0001283699-20-000106,null,908000000,1.07,1.06,1476000000,null,null,3442000000,86921000000,null,24718000000,1528000000,1392000000,1931000000,null,null,null,null,295000000,1888000000
TMUS,0001283699,2020,FY,10-Q,2020-08-06,2019-06-30,2019-01-01,0001283699-20-000165,null,1847000000,2.16,2.14,3017000000,null,null,6985000000,86921000000,null,24718000000,1528000000,3539000000,3720000000,null,null,null,null,596000000,1888000000
TMUS,0001283699,2020,FY,10-K,2021-02-23,2018-12-31,2018-01-01,0001283699-21-000039,null,2888000000,3.4,3.36,5309000000,null,null,13161000000,86921000000,null,22559000000,1528000000,3899000000,5541000000,24969000000,null,null,null,1029000000,1888000000
TMUS,0001283699,2020,Q3,10-Q,2020-11-05,2019-09-30,2019-01-01,0001283699-20-000193,null,2717000000,3.18,3.15,4488000000,null,null,10483000000,86921000000,null,24718000000,1528000000,5287000000,5234000000,null,null,null,null,921000000,1888000000
TMUS,0001283699,2021,FY,10-K,2022-02-11,2019-12-31,2019-01-01,0001283699-22-000018,null,3468000000,4.06,4.02,5722000000,null,null,14139000000,200162000000,null,24718000000,10385000000,6824000000,6391000000,71125000000,null,null,null,1135000000,4254000000
TMUS,0001283699,2021,Q1,10-Q,2021-05-04,2020-03-31,2020-01-01,0001283699-21-000088,null,951000000,1.11,1.1,1539000000,null,null,3688000000,200162000000,null,28789000000,10385000000,1617000000,1753000000,null,null,null,null,306000000,4254000000
TMUS,0001283699,2021,Q2,10-Q,2021-08-03,2020-06-30,2020-01-01,0001283699-21-000150,null,1061000000,1.01,1,2359000000,null,null,9292000000,200162000000,null,28789000000,10385000000,2394000000,4010000000,null,null,null,null,308000000,4254000000
TMUS,0001283699,2021,Q3,10-Q,2021-11-02,2020-09-30,2020-01-01,0001283699-21-000169,null,2314000000,2.08,2.06,4924000000,null,null,14168000000,200162000000,null,28789000000,10385000000,5166000000,7227000000,null,null,null,null,715000000,4254000000
TMUS,0001283699,2022,FY,10-K,2023-02-14,2020-12-31,2020-01-01,0001283699-23-000016,null,3064000000,2.68,2.65,6636000000,null,null,18926000000,206563000000,null,28789000000,6631000000,8640000000,11034000000,74193000000,null,null,null,786000000,4194000000
TMUS,0001283699,2022,Q1,10-Q,2022-05-06,2021-03-31,2021-01-01,0001283699-22-000084,null,933000000,0.75,0.74,2139000000,null,null,4805000000,206563000000,null,65344000000,6631000000,3661000000,3183000000,null,null,null,null,246000000,4194000000
TMUS,0001283699,2022,Q2,10-Q,2022-07-29,2021-06-30,2021-01-01,0001283699-22-000117,null,1911000000,1.53,1.52,4245000000,null,null,9628000000,206563000000,null,65344000000,6631000000,7440000000,6453000000,null,null,null,null,523000000,4194000000
TMUS,0001283699,2022,Q3,10-Q,2022-10-27,2021-09-30,2021-01-01,0001283699-22-000141,null,2602000000,2.09,2.07,5829000000,null,null,14840000000,206563000000,null,65344000000,6631000000,10917000000,9397000000,null,null,null,null,520000000,4194000000
TMUS,0001283699,2023,FY,10-K,2024-02-02,2021-12-31,2021-01-01,0001283699-24-000008,null,3024000000,2.42,2.41,6892000000,null,null,20238000000,211338000000,null,65344000000,4507000000,13917000000,12326000000,71960000000,null,null,null,327000000,4445000000
TMUS,0001283699,2023,Q1,10-Q,2023-04-27,2022-03-31,2022-01-01,0001283699-23-000087,null,713000000,0.57,0.57,1806000000,null,null,5056000000,211338000000,null,69102000000,4507000000,3845000000,3381000000,null,null,null,null,218000000,4445000000
TMUS,0001283699,2023,Q2,10-Q,2023-07-27,2022-06-30,2022-01-01,0001283699-23-000134,null,605000000,0.48,0.48,2515000000,null,null,10912000000,211338000000,null,69102000000,4507000000,8054000000,6953000000,71960000000,null,null,null,163000000,4445000000
TMUS,0001283699,2023,Q3,10-Q,2023-10-25,2022-09-30,2022-01-01,0001283699-23-000151,null,1113000000,0.89,0.88,3796000000,null,null,16030000000,211338000000,null,69102000000,4507000000,12445000000,10587000000,71960000000,null,null,null,106000000,4445000000
TMUS,0001283699,2024,FY,10-K,2025-01-31,2022-12-31,2022-01-01,0001283699-25-000012,null,2590000000,2.07,2.06,6543000000,null,null,21607000000,207682000000,null,69102000000,5135000000,16781000000,13970000000,75018000000,null,null,null,556000000,4692000000
TMUS,0001283699,2024,Q1,10-Q,2024-04-26,2023-03-31,2023-01-01,0001283699-24-000065,null,1940000000,1.59,1.58,3397000000,null,null,5425000000,207682000000,null,69656000000,5135000000,4051000000,3001000000,null,null,null,null,631000000,4692000000
TMUS,0001283699,2024,Q2,10-Q,2024-07-31,2023-06-30,2023-01-01,0001283699-24-000111,null,4161000000,3.45,3.44,7190000000,null,null,10697000000,207682000000,null,69656000000,5135000000,8406000000,5790000000,null,null,null,null,1348000000,4692000000
TMUS,0001283699,2024,Q3,10-Q,2024-10-23,2023-09-30,2023-01-01,0001283699-24-000142,null,6303000000,5.28,5.26,10786000000,null,null,16031000000,207682000000,null,69656000000,5135000000,13700000000,8214000000,null,null,null,null,2053000000,4692000000
TMUS,0001283699,2025,Q1,10-Q,2025-04-24,2024-03-31,2024-01-01,0001283699-25-000079,null,2374000000,2,2,3998000000,null,null,5138000000,208035000000,null,64715000000,5409000000,5084000000,2627000000,null,null,null,null,764000000,4276000000
TMUS,0001283699,2025,Q2,10-Q,2025-07-23,2024-06-30,2024-01-01,0001283699-25-000117,null,5299000000,4.5,4.49,8628000000,null,null,10280000000,208035000000,null,64715000000,5409000000,10605000000,4667000000,null,null,null,null,1607000000,4276000000
TMUS,0001283699,2025,Q3,10-Q,2025-10-23,2024-09-30,2024-01-01,0001283699-25-000154,null,8358000000,7.12,7.1,13424000000,null,null,15466000000,208035000000,null,64715000000,5409000000,16744000000,6628000000,null,null,null,null,2515000000,4276000000
