ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
TSLA,0001318605,2016,FY,10-K,2017-03-01,2014-12-31,2014-01-01,0001564590-17-003118,3198356000,-294040000,null,null,-186689000,881671000,464700000,603660000,8067939000,6936950000,667120000,845889000,null,969885000,5892016,null,2316685000,1068360000,9404000,168965000
TSLA,0001318605,2016,Q1,10-Q,2016-05-10,2015-03-31,2015-01-01,0001564590-16-018886,939880000,-154181000,null,null,-102446000,260073000,167154000,195365000,8067939000,6936950000,1083704000,1905713000,null,426060000,null,null,679807000,362519000,3040000,168965000
TSLA,0001318605,2016,Q2,10-Q,2016-08-05,2015-06-30,2015-01-01,0001564590-16-023024,1894856000,-338408000,null,null,-272634000,473443000,348866000,397211000,8067939000,6936950000,1083704000,1905713000,null,831225000,null,null,1421413000,746077000,6207000,168965000
TSLA,0001318605,2016,Q3,10-Q,2016-11-02,2015-09-30,2015-01-01,0001564590-16-026820,2831645000,-568266000,-4.47,-4.47,-456296000,704939000,527657000,633578000,8067939000,6936950000,1083704000,1905713000,null,1223628000,null,null,2126706000,1161235000,7991000,168965000
TSLA,0001318605,2017,FY,10-K,2018-02-23,2015-12-31,2015-01-01,0001564590-18-002956,4046025000,-888663000,-6.93,-6.93,-716629000,923503000,717900000,922232000,22664076000,16750167000,4752911000,1905713000,null,1634850000,5892016000,null,3122522000,1640132000,13039000,499142000
TSLA,0001318605,2017,Q1,10-Q,2017-05-10,2016-03-31,2016-01-01,0001564590-17-009968,1147048000,-282267000,null,null,-248224000,252468000,182482000,318210000,22664076000,16750167000,4752911000,1196908000,null,216859000,5892016000,null,894580000,500692000,3846000,499142000
TSLA,0001318605,2017,Q2,10-Q,2017-08-04,2016-06-30,2016-01-01,0001564590-17-015705,2417065000,-575455000,null,null,-486264000,527244000,374146000,639362000,22664076000,16750167000,4752911000,1196908000,null,511579000,5892016000,null,1889821000,1013508000,7495000,499142000
TSLA,0001318605,2017,Q3,10-Q,2017-11-03,2016-09-30,2016-01-01,0001564590-17-021343,4715501000,-553577000,-3.94,-3.94,-400642000,1163979000,588448000,976173000,22664076000,16750167000,4752911000,1196908000,null,759190000,5892016000,null,3551522000,1564621000,15628000,499142000
TSLA,0001318605,2018,FY,10-K,2019-02-19,2016-12-31,2016-01-01,0001564590-19-003165,7000132000,-674914000,-4.68,-4.68,-667340000,1599257000,834408000,1432189000,28655372000,23022980000,4237242000,1196908000,-123829000,1280802000,8828985000,null,5400875000,2266597000,26698000,515381000
TSLA,0001318605,2018,Q1,10-Q,2018-05-07,2017-03-31,2017-01-01,0001564590-18-011086,2696270000,-330277000,-2.04,-2.04,-257549000,667946000,322040000,603455000,28655372000,23022980000,4237242000,3393216000,null,552624000,8828985000,null,2028324000,925495000,25278000,515381000
TSLA,0001318605,2018,Q2,10-Q,2018-08-06,2017-06-30,2017-01-01,0001564590-18-019254,5485827000,-666674000,-4.07,-4.07,-498465000,1334561000,691814000,1141212000,28655372000,23022980000,4237242000,3393216000,-269983000,1511692000,8828985000,null,4151266000,1833026000,40925000,515381000
TSLA,0001318605,2018,Q3,10-Q,2018-11-02,2017-09-30,2017-01-01,0001564590-18-026353,8470502000,-1286050000,-7.8,-7.8,-1033945000,1783701000,1023436000,1794210000,28655372000,23022980000,4237242000,3393216000,-570545000,2628126000,8828985000,null,6686801000,2817646000,40640000,515381000
TSLA,0001318605,2019,FY,10-K,2020-02-13,2017-12-31,2017-01-01,0001564590-20-004475,11759000000,-1962000000,-11.83,-11.83,-1632000000,2223000000,1378000000,2477000000,29740000000,23427000000,4923000000,3393000000,-61000000,3415000000,8411000000,null,9536000000,3855000000,32000000,949000000
TSLA,0001318605,2019,Q1,10-Q,2019-04-29,2018-03-31,2018-01-01,0001564590-19-013462,3408751000,-709551000,-4.19,-4.19,-596974000,456526000,367096000,686404000,29739614000,23426010000,4923243000,3367914000,-398376000,655662000,8410490000,null,2952225000,1053500000,5605000,949022000
TSLA,0001318605,2019,Q2,10-Q,2019-07-29,2018-06-30,2018-01-01,0001564590-19-026445,7410982000,-1427090000,-8.42,-8.42,-1218366000,1075456000,753225000,1437163000,29739614000,23426010000,4923243000,3367914000,-528040000,1265475000,8410490000,null,6335526000,2293822000,19312000,949022000
TSLA,0001318605,2019,Q3,10-Q,2019-10-29,2018-09-30,2018-01-01,0001564590-19-038256,14235000000,-1116000000,-6.56,-6.56,-802000000,2599000000,1104000000,2167000000,29740000000,23427000000,4923000000,3368000000,863000000,1776000000,8411000000,null,11636000000,3401000000,36000000,949000000
TSLA,0001318605,2020,FY,10-K,2021-02-08,2018-12-31,2018-01-01,0001564590-21-004599,21461000000,-976000000,-1.14,-1.14,-388000000,4042000000,1460000000,2835000000,34309000000,26199000000,6618000000,3686000000,2098000000,2101000000,10402000000,null,17419000000,4430000000,58000000,1324000000
TSLA,0001318605,2020,Q1,10-Q,2020-04-30,2019-03-31,2019-01-01,0001564590-20-019931,4541000000,-702000000,-4.1,-4.1,-522000000,566000000,340000000,704000000,34309000000,26199000000,6618000000,3686000000,-640000000,280000000,10402000000,null,3975000000,1088000000,23000000,1324000000
TSLA,0001318605,2020,Q2,10-Q,2020-07-28,2019-06-30,2019-01-01,0001564590-20-033670,10891000000,-1110000000,-6.4,-6.4,-689000000,1487000000,664000000,1351000000,34309000000,26199000000,6618000000,3686000000,224000000,530000000,10402000000,null,9404000000,2176000000,42000000,1324000000
TSLA,0001318605,2020,Q3,10-Q,2020-10-26,2019-09-30,2019-01-01,0001564590-20-047486,17194000000,-967000000,-1.11,-1.11,-428000000,2678000000,998000000,1947000000,34309000000,26199000000,6618000000,3686000000,980000000,915000000,10402000000,null,14516000000,3106000000,68000000,1324000000
TSLA,0001318605,2021,FY,10-K,2022-02-07,2019-12-31,2019-01-01,0000950170-22-000796,24578000000,-862000000,-0.98,-0.98,-69000000,4069000000,1343000000,2646000000,52148000000,28418000000,22225000000,6268000000,2405000000,1327000000,8462000000,null,20509000000,4138000000,110000000,1886000000
TSLA,0001318605,2021,Q1,10-Q,2021-04-28,2020-03-31,2020-01-01,0000950170-21-000046,5985000000,16000000,0.02,0.02,283000000,1234000000,324000000,627000000,52148000000,28418000000,22225000000,6268000000,-440000000,455000000,8462000000,null,4751000000,951000000,2000000,1886000000
TSLA,0001318605,2021,Q2,10-Q,2021-07-27,2020-06-30,2020-01-01,0000950170-21-000524,12021000000,120000000,0.13,0.12,610000000,2501000000,603000000,1288000000,52148000000,28418000000,22225000000,6268000000,524000000,1001000000,8462000000,null,9520000000,1891000000,23000000,1886000000
TSLA,0001318605,2021,Q3,10-Q,2021-10-25,2020-09-30,2020-01-01,0000950170-21-002253,20792000000,451000000,0.45,0.4,1419000000,4564000000,969000000,2176000000,52148000000,28418000000,22225000000,6268000000,2924000000,2006000000,8462000000,null,16228000000,3145000000,209000000,1886000000
TSLA,0001318605,2022,FY,10-K,2023-01-31,2020-12-31,2020-01-01,0000950170-23-001409,31536000000,721000000,0.25,0.21,1994000000,6630000000,1491000000,3145000000,62131000000,30548000000,30189000000,19384000000,5943000000,3157000000,4254000000,131000000,24906000000,4636000000,292000000,1913000000
TSLA,0001318605,2022,Q1,10-Q,2022-04-25,2021-03-31,2021-01-01,0000950170-22-006034,10389000000,438000000,0.46,0.39,594000000,2215000000,666000000,1056000000,62131000000,30548000000,30189000000,19384000000,1641000000,1348000000,4254000000,null,8174000000,1621000000,69000000,1913000000
TSLA,0001318605,2022,Q2,10-Q,2022-07-25,2021-06-30,2021-01-01,0000950170-22-012936,22347000000,1580000000,1.64,1.41,1906000000,5099000000,1242000000,2029000000,62131000000,30548000000,30189000000,19384000000,3765000000,2853000000,4254000000,null,17248000000,3193000000,184000000,1913000000
TSLA,0001318605,2022,Q3,10-Q,2022-10-24,2021-09-30,2021-01-01,0000950170-22-019867,36104000000,3198000000,1.09,0.95,3910000000,8759000000,1853000000,3023000000,62131000000,30548000000,30189000000,19384000000,6912000000,4672000000,4254000000,null,27345000000,4849000000,407000000,1913000000
TSLA,0001318605,2023,FY,10-K,2024-01-29,2021-12-31,2021-01-01,0001628280-24-002390,53823000000,5519000000,1.87,1.63,6523000000,13606000000,2593000000,4517000000,82338000000,36440000000,44704000000,17576000000,11497000000,6482000000,1029000000,5932000000,40217000000,7083000000,699000000,2952000000
TSLA,0001318605,2023,Q1,10-Q,2023-04-24,2022-03-31,2022-01-01,0000950170-23-013890,18756000000,3318000000,1.07,0.95,3603000000,5460000000,865000000,992000000,82338000000,36440000000,44704000000,17576000000,3995000000,1767000000,1029000000,5932000000,13296000000,1857000000,346000000,2952000000
TSLA,0001318605,2023,Q2,10-Q,2023-07-24,2022-06-30,2022-01-01,0000950170-23-033872,35690000000,5577000000,1.79,1.61,6067000000,9694000000,1532000000,1953000000,82338000000,36440000000,44704000000,17576000000,6346000000,3497000000,1029000000,5932000000,25996000000,3627000000,551000000,2952000000
TSLA,0001318605,2023,Q3,10-Q,2023-10-23,2022-09-30,2022-01-01,0001628280-23-034847,57144000000,8869000000,2.84,2.55,9755000000,15076000000,2265000000,2914000000,82338000000,36440000000,44704000000,17576000000,11446000000,5300000000,1029000000,5932000000,42068000000,5321000000,856000000,2952000000
TSLA,0001318605,2024,FY,10-K,2025-01-30,2022-12-31,2022-01-01,0001628280-25-003063,81462000000,12556000000,4.02,3.62,13656000000,20853000000,3075000000,3946000000,106618000000,43009000000,62634000000,16253000000,14724000000,7158000000,2682000000,12696000000,60609000000,7197000000,1132000000,3508000000
