ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
TTD,0001671933,2016,FY,10-K,2017-02-16,2014-12-31,2014-01-01,0001193125-17-046742,null,5000,0.85,0.39,764000,null,7250000,null,210231000,171885000,-5687000,6365000,null,832000,null,null,null,null,-948000,191943000
TTD,0001671933,2016,Q3,10-Q,2016-11-10,2015-09-30,2015-01-01,0001104659-16-156257,null,10279000,0.68,0.26,19995000,null,8507000,null,210231000,171885000,14142000,17315000,null,1463000,null,null,null,null,6904000,191943000
TTD,0001671933,2017,FY,10-K,2018-02-28,2015-12-31,2015-01-01,0001564590-18-003611,null,15929000,0.85,0.39,37980000,null,12819000,null,537596000,373216000,-6131000,17315000,null,5128000,null,null,null,null,13926000,377240000
TTD,0001671933,2017,Q1,10-Q,2017-05-11,2016-03-31,2016-01-01,0001193125-17-167445,null,-1040000,-4.45,-4.45,3396000,null,4639000,null,537596000,373216000,164380000,4047000,null,384000,null,null,null,null,-828000,377240000
TTD,0001671933,2017,Q2,10-Q,2017-08-11,2016-06-30,2016-01-01,0001193125-17-254735,null,6558000,-3.74,-3.74,18430000,null,10402000,null,537596000,373216000,164380000,4047000,null,2036000,null,null,null,null,5348000,377240000
TTD,0001671933,2017,Q3,10-Q,2017-11-13,2016-09-30,2016-01-01,0001564590-17-023372,null,10202000,-3.23,-3.23,33481000,null,17694000,null,537596000,373216000,164380000,4047000,null,3516000,null,null,null,null,10668000,377240000
TTD,0001671933,2018,FY,10-K,2019-02-22,2016-12-31,2016-01-01,0001564590-19-003906,null,20482000,-1.46,-1.46,57518000,null,27313000,null,797164000,551581000,14142000,4047000,75031000,6884000,null,null,null,null,23352000,599565000
TTD,0001671933,2018,Q1,10-Q,2018-05-10,2017-03-31,2017-01-01,0001564590-18-013017,null,4909000,0.13,0.11,1936000,null,10461000,null,797164000,551581000,245583000,133400000,null,3602000,null,null,null,null,-3765000,599565000
TTD,0001671933,2018,Q2,10-Q,2018-08-09,2017-06-30,2017-01-01,0001564590-18-021105,null,23758000,0.6,0.54,21630000,null,22596000,null,797164000,551581000,245583000,133400000,-11971000,6707000,null,null,null,null,-4223000,599565000
TTD,0001671933,2018,Q3,10-Q,2018-11-09,2017-09-30,2017-01-01,0001564590-18-028667,null,33987000,0.85,0.77,40038000,null,35777000,null,797164000,551581000,245583000,133400000,7031000,8357000,null,null,null,null,1602000,599565000
TTD,0001671933,2019,FY,10-K,2020-02-28,2017-12-31,2017-01-01,0001564590-20-007498,null,50798000,1.26,1.15,69356000,null,52806000,null,1117872000,723305000,164380000,133400000,31224000,10110000,null,124112000,null,null,12827000,834764000
TTD,0001671933,2019,Q1,10-Q,2019-05-09,2018-03-31,2018-01-01,0001564590-19-017961,null,9070000,0.22,0.2,9930000,null,17701000,null,1117872000,723305000,245583000,155950000,11807000,1798000,null,74101000,null,null,160000,834764000
TTD,0001671933,2019,Q2,10-Q,2019-08-09,2018-03-31,2018-01-01,0001564590-19-030952,null,9070000,0.68,0.63,36092000,null,37185000,null,1117872000,723305000,245583000,155950000,12409000,6585000,null,100461000,null,null,5915000,834764000
TTD,0001671933,2019,Q3,10-Q,2019-11-08,2018-03-31,2018-01-01,0001564590-19-041899,null,9070000,1.15,1.07,58355000,null,59806000,null,1117872000,723305000,245583000,155950000,38545000,10383000,null,123082000,null,null,7728000,834764000
TTD,0001671933,2020,FY,10-K,2021-02-19,2018-12-31,2018-01-01,0001564590-21-006726,null,88140000,2.08,1.92,107323000,null,83892000,null,1728761000,1116244000,245583000,130876000,86603000,19795000,null,124112000,null,null,17597000,1166376000
TTD,0001671933,2020,Q1,10-Q,2020-05-08,2019-03-31,2019-01-01,0001564590-20-023075,null,10151000,0.23,0.21,5670000,null,25312000,null,1728761000,1116244000,394567000,207232000,9711000,6085000,null,124112000,null,null,-4814000,1166376000
TTD,0001671933,2020,Q2,10-Q,2020-08-07,2019-03-31,2019-01-01,0001564590-20-037939,null,10151000,0.86,0.8,37619000,null,54764000,null,1728761000,1116244000,394567000,207232000,43791000,17002000,null,124112000,null,null,755000,1166376000
TTD,0001671933,2020,Q3,10-Q,2020-11-06,2019-03-31,2019-01-01,0001564590-20-051533,null,10151000,1.29,1.2,59546000,null,83949000,null,1728761000,1116244000,394567000,130876000,88273000,21659000,null,124112000,null,null,5152000,1166376000
TTD,0001671933,2021,FY,10-K,2022-02-16,2019-12-31,2019-01-01,0001564590-22-005385,null,108318000,0.24,0.23,112196000,null,116752000,null,2753645000,1740500000,394567000,437353000,60205000,35693000,null,186685000,null,null,7902000,1584109000
TTD,0001671933,2021,Q1,10-Q,2021-05-10,2020-03-31,2020-01-01,0001564590-21-026067,null,24057000,0.53,0.5,10766000,null,36794000,null,2753645000,1740500000,612517000,437353000,52776000,18310000,null,186685000,null,null,-13708000,1584109000
TTD,0001671933,2021,Q2,10-Q,2021-08-09,2020-03-31,2020-01-01,0001564590-21-042669,null,24057000,0.11,0.1,-5006000,null,76852000,null,2753645000,1740500000,612517000,437353000,149127000,37720000,null,186685000,null,null,-54785000,1584109000
TTD,0001671933,2021,Q3,10-Q,2021-11-08,2020-03-31,2020-01-01,0001564590-21-055245,null,24057000,0.2,0.19,37776000,null,117931000,null,2753645000,1740500000,612517000,437353000,237512000,57721000,null,186685000,null,null,-53473000,1584109000
TTD,0001671933,2022,FY,10-K,2023-02-15,2020-12-31,2020-01-01,0001671933-23-000007,null,242317000,0.52,0.49,144208000,null,166654000,null,3577340000,2050034000,612517000,754154000,405069000,74061000,null,204625000,null,null,-98414000,2020720000
TTD,0001671933,2022,Q1,10-Q,2022-05-10,2021-03-31,2021-01-01,0001564590-22-019334,null,22642000,0.05,0.05,7784000,null,53918000,null,3577340000,2050034000,1013145000,754154000,75070000,13120000,null,204625000,null,null,-14550000,2020720000
TTD,0001671933,2022,Q2,10-Q,2022-08-09,2021-03-31,2021-01-01,0001628280-22-021984,null,22642000,0.15,0.14,69732000,null,107454000,null,3577340000,2050034000,1013145000,754154000,85441000,18499000,null,204625000,null,null,-697000,2020720000
TTD,0001671933,2022,Q3,10-Q,2022-11-09,2021-03-31,2021-01-01,0001671933-22-000016,null,22642000,0.27,0.26,150178000,null,163301000,null,3577340000,2050034000,1013145000,754154000,215119000,43920000,null,204625000,null,null,18895000,2020720000
TTD,0001671933,2023,FY,10-K,2024-02-15,2021-12-31,2021-01-01,0001671933-24-000014,null,137762000,0.29,0.28,124817000,null,226137000,null,4380679000,2265340000,1013145000,1030506000,378513000,54804000,null,416080000,null,null,-15726000,2347195000
TTD,0001671933,2023,Q1,10-Q,2023-05-10,2022-03-31,2022-01-01,0001671933-23-000032,null,-14598000,-0.03,-0.03,-17053000,null,71999000,null,4380679000,2265340000,1527306000,1030506000,146192000,8401000,null,416080000,null,null,-2736000,2347195000
TTD,0001671933,2023,Q2,10-Q,2023-08-09,2022-03-31,2022-01-01,0001671933-23-000042,null,-14598000,-0.07,-0.07,-15310000,null,155482000,null,4380679000,2265340000,1527306000,1030506000,237958000,12541000,null,416080000,null,null,18419000,2347195000
TTD,0001671933,2023,Q3,10-Q,2023-11-09,2022-03-31,2022-01-01,0001671933-23-000050,null,-14598000,-0.04,-0.04,13494000,null,235397000,null,4380679000,2265340000,1527306000,1030506000,375254000,36394000,null,416080000,null,null,33052000,2347195000
