ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
TTWO,0000946581,2016,FY,10-K,2016-05-19,2014-03-31,2013-04-01,0001047469-16-013278,null,361605000,3.79,3.2,415256000,936241000,null,null,2228073000,1664985000,587995000,402502000,700262000,29813000,537500000,186929000,null,520985000,14459000,217860000
TTWO,0000946581,2016,Q1,10-Q,2015-08-10,2014-06-30,2014-04-01,0001047469-15-006749,null,-35403000,null,null,-33209000,71269000,null,null,2231100000,1668012000,563088000,935400000,-87516000,8392000,null,186929000,null,104478000,-5525000,217860000
TTWO,0000946581,2016,Q2,10-Q,2015-11-06,2014-09-30,2014-04-01,0001047469-15-008367,null,-76772000,-0.96,-0.96,-81722000,145530000,null,null,2231100000,1668012000,563088000,935400000,-131822000,23054000,null,186929000,null,227252000,-1205000,217860000
TTWO,0000946581,2016,Q3,10-Q,2016-02-04,2014-12-31,2014-04-01,0001047469-16-010014,null,-36679000,-0.46,-0.46,-16110000,398664000,null,null,2228073000,1664985000,563088000,935400000,60526000,36579000,null,186929000,null,414774000,13356000,217860000
TTWO,0000946581,2017,FY,10-K,2017-05-24,2015-03-31,2014-04-01,0001628280-17-005833,null,-279470000,-3.48,-3.48,-258463000,288071000,null,null,2590277000,2008892000,801806000,935400000,212814000,49501000,268149000,470820000,null,546534000,6590000,168527000
TTWO,0000946581,2017,Q1,10-Q,2016-08-05,2015-06-30,2015-04-01,0001047469-16-014693,null,-67023000,null,null,-62637000,72682000,null,null,2590277000,2008892000,581385000,911120000,105482000,18769000,null,470820000,null,135319000,-3148000,168527000
TTWO,0000946581,2017,Q2,10-Q,2016-11-03,2015-09-30,2015-04-01,0001047469-16-016473,null,-12288000,-0.15,-0.15,3794000,275716000,null,null,2590277000,2008892000,581385000,911120000,20014000,25793000,null,470820000,null,271922000,152000,168527000
TTWO,0000946581,2017,Q3,10-Q,2017-02-08,2015-12-31,2015-04-01,0001047469-17-000578,null,-54701000,null,null,-55403000,432076000,null,null,2590277000,2008892000,581385000,911120000,188823000,28579000,null,470820000,null,487479000,-24650000,168527000
TTWO,0000946581,2018,FY,10-K,2018-05-17,2016-03-31,2015-04-01,0001628280-18-006877,null,-8302000,-0.1,-0.1,-10828000,599825000,null,null,3149154000,2145426000,563088000,911120000,261305000,37280000,8160000,448932000,null,610653000,-30048000,219558000
TTWO,0000946581,2018,Q1,10-Q,2017-08-03,2016-06-30,2016-04-01,0001628280-17-007899,null,-38567000,-0.46,-0.46,-38983000,120172000,null,null,3149154000,2145426000,1003728000,798742000,-47248000,4230000,null,448932000,null,159155000,-3572000,219558000
TTWO,0000946581,2018,Q1,10-Q,2018-08-03,2017-06-30,2017-04-01,0001628280-18-010376,null,60276000,0.57,0.56,50219000,223647000,null,null,3737841000,2248871000,1488970000,808973000,49890000,16092000,null,615406000,null,173428000,-12865000,247649000
TTWO,0000946581,2018,Q2,10-Q,2017-11-08,2016-09-30,2016-04-01,0001628280-17-011117,null,-2135000,-0.03,-0.03,8211000,334734000,null,null,3149154000,2145426000,1003728000,798742000,-50809000,8283000,null,448932000,null,326523000,112000,219558000
TTWO,0000946581,2018,Q3,10-Q,2018-02-08,2016-12-31,2016-04-01,0001628280-18-001226,null,-31977000,-0.37,-0.37,-20198000,500133000,null,null,3149154000,2145426000,1003728000,798742000,239602000,14369000,null,448932000,null,520331000,-2169000,219558000
TTWO,0000946581,2019,FY,10-K,2019-05-14,2017-03-31,2016-04-01,0001628280-19-006691,null,67303000,0.73,0.72,91305000,756789000,null,null,3737841000,2248871000,581385000,808973000,407903000,21167000,null,615406000,null,665484000,9662000,247649000
TTWO,0000946581,2019,Q2,10-Q,2018-11-08,2017-09-30,2017-04-01,0001628280-18-013920,null,57540000,0.54,0.53,38900000,420661000,null,null,3737841000,2248871000,1488970000,808973000,132352000,32717000,null,615406000,null,381761000,-24417000,247649000
TTWO,0000946581,2019,Q3,10-Q,2019-02-06,2017-12-31,2017-04-01,0001628280-19-001036,null,82680000,0.76,0.74,47752000,633518000,null,null,3737841000,2248871000,1488970000,808973000,241073000,47478000,null,615406000,null,585766000,-37331000,247649000
TTWO,0000946581,2020,FY,10-K,2020-05-22,2018-03-31,2017-04-01,0001628280-20-008291,null,173533000,1.57,1.54,135577000,894581000,null,null,4243065000,2202485000,1003728000,826525000,493527000,61557000,null,744485000,null,759004000,-36908000,395729000
TTWO,0000946581,2020,Q1,10-Q,2019-08-06,2018-06-30,2018-04-01,0001628280-19-010011,null,71693000,0.63,0.62,70846000,256617000,null,null,4243065000,2202485000,1488970000,826525000,-11183000,14289000,null,744485000,null,185771000,5754000,395729000
TTWO,0000946581,2020,Q2,10-Q,2019-11-08,2017-09-30,2017-07-01,0001628280-19-013731,null,25367000,0.86,0.84,96832000,514404000,null,null,4243065000,2202485000,1488970000,826525000,-206035000,29144000,null,744485000,null,417572000,11348000,395729000
TTWO,0000946581,2020,Q3,10-Q,2020-02-07,2018-12-31,2018-04-01,0001628280-20-001155,null,277007000,2.44,2.41,148610000,864657000,null,null,4243065000,2202485000,1488970000,826525000,390199000,43646000,null,744485000,null,716047000,-108750000,395729000
TTWO,0000946581,2021,FY,10-K,2021-05-19,2019-03-31,2018-04-01,0001628280-21-010627,null,333837000,2.95,2.9,206672000,1144750000,null,null,4948832000,2409588000,1488970000,1357664000,843515000,66969000,null,644003000,null,938078000,-101052000,592555000
