ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
TXN,0000097476,2016,FY,10-K,2017-02-23,2014-12-31,2014-01-01,0001564590-17-002142,null,2821000000,2.61,2.57,3947000000,7427000000,1358000000,1843000000,16230000000,6284000000,9946000000,1627000000,null,385000000,4120000000,2218000000,5618000000,null,1053000000,1165000000
TXN,0000097476,2016,Q1,10-Q,2016-05-04,2015-03-31,2015-01-01,0001564590-16-017570,null,656000000,0.62,0.61,958000000,1816000000,338000000,439000000,16230000000,6284000000,9946000000,1199000000,null,123000000,4120000000,2218000000,1334000000,null,284000000,1165000000
TXN,0000097476,2016,Q2,10-Q,2016-08-04,2015-06-30,2015-01-01,0001564590-16-022552,null,1352000000,1.28,1.26,1968000000,3697000000,658000000,909000000,16230000000,6284000000,9946000000,1199000000,null,248000000,4120000000,2218000000,2685000000,null,577000000,1165000000
TXN,0000097476,2016,Q3,10-Q,2016-11-03,2015-09-30,2015-01-01,0001564590-16-027067,null,2150000000,2.05,2.02,3132000000,5694000000,974000000,1343000000,16230000000,6284000000,9946000000,1199000000,null,387000000,4120000000,2218000000,4117000000,null,927000000,1165000000
TXN,0000097476,2017,FY,10-K,2018-02-22,2015-12-31,2015-01-01,0001564590-18-002832,null,2986000000,2.86,2.82,4322000000,7575000000,1267000000,1728000000,16431000000,5958000000,10473000000,1199000000,null,551000000,3609000000,2336000000,5425000000,null,1230000000,1267000000
TXN,0000097476,2017,Q1,10-Q,2017-05-03,2016-03-31,2016-01-01,0001564590-17-008260,null,711000000,0.7,0.69,984000000,1829000000,322000000,441000000,16431000000,5958000000,10473000000,1000000000,null,124000000,3609000000,2336000000,1179000000,null,239000000,1267000000
TXN,0000097476,2017,Q2,10-Q,2017-08-03,2016-06-30,2016-01-01,0001564590-17-015153,null,1530000000,1.5,1.48,2115000000,3836000000,663000000,895000000,16431000000,5958000000,10473000000,1000000000,null,282000000,3609000000,2336000000,2445000000,null,522000000,1267000000
TXN,0000097476,2017,Q3,10-Q,2017-11-02,2016-09-30,2016-01-01,0001564590-17-021032,null,2548000000,2.51,2.46,3523000000,6120000000,1016000000,1337000000,16431000000,5958000000,10473000000,1000000000,null,421000000,3609000000,2336000000,3836000000,null,885000000,1267000000
TXN,0000097476,2018,FY,10-K,2019-02-22,2016-12-31,2016-01-01,0001564590-19-003839,null,3595000000,3.54,3.48,4855000000,8257000000,1356000000,1742000000,17642000000,7305000000,10337000000,1000000000,4614000000,531000000,4077000000,2813000000,null,null,1335000000,1278000000
TXN,0000097476,2018,Q1,10-Q,2018-05-03,2017-03-31,2017-01-01,0001564590-18-010545,null,997000000,0.99,0.97,1252000000,2144000000,369000000,439000000,17642000000,7305000000,10337000000,1154000000,null,127000000,4077000000,2813000000,1258000000,null,258000000,1278000000
TXN,0000097476,2018,Q2,10-Q,2018-08-02,2017-06-30,2017-01-01,0001564590-18-018753,null,2053000000,2.04,2,2732000000,4518000000,747000000,873000000,17642000000,7305000000,10337000000,1154000000,1712000000,278000000,4077000000,2813000000,null,null,688000000,1278000000
TXN,0000097476,2018,Q3,10-Q,2018-11-02,2017-09-30,2017-01-01,0001564590-18-026405,null,3338000000,3.33,3.26,4520000000,7174000000,1122000000,1285000000,17642000000,7305000000,10337000000,1154000000,3434000000,464000000,4077000000,2813000000,null,null,1192000000,1278000000
TXN,0000097476,2019,FY,10-K,2020-02-20,2017-12-31,2017-01-01,0000097476-20-000009,null,3682000000,3.68,3.61,6083000000,9614000000,1508000000,1694000000,17137000000,8143000000,8994000000,2438000000,5363000000,695000000,5068000000,1795000000,null,null,2398000000,1207000000
TXN,0000097476,2019,Q1,10-Q,2019-04-30,2018-03-31,2018-01-01,0001564590-19-014051,null,1366000000,1.38,1.35,1548000000,2447000000,385000000,433000000,17137000000,8143000000,8994000000,1656000000,1112000000,189000000,5068000000,1795000000,null,null,187000000,1207000000
TXN,0000097476,2019,Q2,10-Q,2019-07-31,2018-06-30,2018-01-01,0001564590-19-027328,null,2771000000,2.8,2.75,3260000000,5066000000,769000000,874000000,17137000000,8143000000,8994000000,1656000000,2938000000,438000000,5068000000,1795000000,null,null,488000000,1207000000
TXN,0000097476,2019,Q3,10-Q,2019-10-31,2018-09-30,2018-01-01,0000097476-19-000009,null,4341000000,4.41,4.32,5197000000,7870000000,1159000000,1270000000,17137000000,8143000000,8994000000,2438000000,5044000000,808000000,5068000000,1795000000,null,null,842000000,1207000000
TXN,0000097476,2020,FY,10-K,2021-02-05,2018-12-31,2018-01-01,0000097476-21-000006,null,5580000000,5.71,5.59,6713000000,10277000000,1559000000,1684000000,18018000000,9111000000,8907000000,2437000000,7189000000,1131000000,5803000000,2950000000,null,null,1106000000,1074000000
TXN,0000097476,2020,Q1,10-Q,2020-04-22,2019-03-31,2019-01-01,0000097476-20-000017,null,1217000000,1.29,1.26,1379000000,2261000000,389000000,414000000,18018000000,9111000000,8907000000,2437000000,1107000000,251000000,5803000000,2950000000,null,null,160000000,1074000000
TXN,0000097476,2020,Q2,10-Q,2020-07-22,2019-06-30,2019-01-01,0000097476-20-000026,null,2522000000,2.67,2.63,2885000000,4621000000,779000000,834000000,18018000000,9111000000,8907000000,2437000000,2903000000,535000000,5803000000,2950000000,null,null,369000000,1074000000
TXN,0000097476,2020,Q3,10-Q,2020-10-21,2019-09-30,2019-01-01,0001628280-20-014630,null,3947000000,4.19,4.12,4474000000,7067000000,1158000000,1233000000,18018000000,9111000000,8907000000,2437000000,4895000000,684000000,5803000000,2950000000,null,null,524000000,1074000000
TXN,0000097476,2021,FY,10-K,2022-02-04,2019-12-31,2019-01-01,0000097476-22-000009,null,5017000000,5.33,5.24,5723000000,9164000000,1544000000,1645000000,19351000000,10164000000,9187000000,3107000000,6649000000,847000000,6798000000,3461000000,5219000000,null,711000000,1414000000
TXN,0000097476,2021,Q1,10-Q,2021-04-28,2020-03-31,2020-01-01,0000097476-21-000013,null,1174000000,1.25,1.24,1244000000,2088000000,377000000,417000000,19351000000,10164000000,9187000000,3107000000,851000000,161000000,6798000000,3461000000,1241000000,null,50000000,1414000000
TXN,0000097476,2021,Q2,10-Q,2021-07-22,2020-06-30,2020-01-01,0000097476-21-000020,null,2554000000,2.75,2.72,2472000000,4170000000,756000000,818000000,19351000000,10164000000,9187000000,3107000000,2571000000,291000000,6798000000,3461000000,2398000000,null,-51000000,1414000000
TXN,0000097476,2021,Q3,10-Q,2021-10-27,2020-09-30,2020-01-01,0000097476-21-000032,null,3907000000,4.22,4.17,4081000000,6623000000,1142000000,1225000000,19351000000,10164000000,9187000000,3107000000,4014000000,437000000,6798000000,3461000000,3762000000,null,183000000,1414000000
TXN,0000097476,2022,FY,10-K,2023-02-03,2020-12-31,2020-01-01,0000097476-23-000007,null,5595000000,6.05,5.97,5894000000,9269000000,1530000000,1623000000,24676000000,11343000000,13333000000,4631000000,6139000000,649000000,7741000000,5108000000,5192000000,null,422000000,1701000000
TXN,0000097476,2022,Q1,10-Q,2022-04-27,2021-03-31,2021-01-01,0000097476-22-000028,null,1753000000,1.89,1.87,1939000000,2797000000,386000000,425000000,24676000000,11343000000,13333000000,4631000000,1850000000,308000000,7741000000,5108000000,1492000000,null,186000000,1701000000
TXN,0000097476,2022,Q2,10-Q,2022-07-27,2021-06-30,2021-01-01,0000097476-22-000040,null,3684000000,3.98,3.92,4152000000,5874000000,777000000,850000000,24676000000,11343000000,13333000000,4631000000,3971000000,694000000,7741000000,5108000000,2995000000,null,497000000,1701000000
TXN,0000097476,2022,Q3,10-Q,2022-10-26,2021-09-30,2021-01-01,0000097476-22-000048,null,5631000000,6.08,5.99,6457000000,9026000000,1165000000,1262000000,24676000000,11343000000,13333000000,4631000000,6399000000,1180000000,7741000000,5108000000,4486000000,null,825000000,1701000000
TXN,0000097476,2023,FY,10-K,2024-02-02,2021-12-31,2021-01-01,0000097476-24-000007,null,7769000000,8.38,8.26,8960000000,12376000000,1554000000,1666000000,27207000000,12630000000,14577000000,3050000000,8756000000,2462000000,8735000000,6017000000,null,null,1150000000,1895000000
TXN,0000097476,2023,Q1,10-Q,2023-04-26,2022-03-31,2022-01-01,0000097476-23-000025,null,2201000000,2.37,2.35,2563000000,3442000000,391000000,422000000,27207000000,12630000000,14577000000,3050000000,2144000000,443000000,8735000000,6017000000,1463000000,null,325000000,1895000000
TXN,0000097476,2023,Q2,10-Q,2023-07-26,2022-06-30,2022-01-01,0000097476-23-000035,null,4492000000,4.85,4.8,5286000000,7067000000,805000000,844000000,27207000000,12630000000,14577000000,3050000000,3912000000,1040000000,8735000000,6017000000,3050000000,null,715000000,1895000000
TXN,0000097476,2023,Q3,10-Q,2023-10-25,2022-09-30,2022-01-01,0000097476-23-000041,null,6787000000,7.35,7.27,7964000000,10684000000,1236000000,1275000000,27207000000,12630000000,14577000000,3050000000,6678000000,1830000000,8735000000,6017000000,null,null,1078000000,1895000000
TXN,0000097476,2024,FY,10-K,2025-02-14,2022-12-31,2022-01-01,0000097476-25-000007,null,8749000000,9.51,9.41,10140000000,13771000000,1670000000,1704000000,32348000000,15451000000,16897000000,2964000000,8720000000,2797000000,11223000000,5611000000,null,null,1283000000,1787000000
