ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
VRSK,0001442145,2016,FY,10-K,2017-02-21,2014-12-31,2014-01-01,0001442145-17-000010,null,400000000,2.41,2.37,632300000,null,25600000,187300000,5593700000,4221700000,547600000,165800000,489400000,146800000,2413900000,null,null,null,208500000,251000000
VRSK,0001442145,2016,Q1,10-Q,2016-05-03,2015-03-31,2015-01-01,0001442145-16-000069,null,98686000,0.62,0.61,173952000,null,null,49714000,5593652000,4221641000,211043000,39359000,270990000,24760000,2274144000,null,null,null,58815000,250947000
VRSK,0001442145,2016,Q2,10-Q,2016-08-02,2015-06-30,2015-01-01,0001442145-16-000081,null,262006000,1.63,1.59,319995000,null,null,132050000,5593652000,4221641000,211043000,39359000,355501000,60092000,2274144000,null,null,null,93207000,250947000
VRSK,0001442145,2016,Q3,10-Q,2016-11-01,2015-09-30,2015-01-01,0001442145-16-000089,null,393820000,2.41,2.36,517143000,null,null,202692000,5593652000,4221641000,211043000,39359000,520044000,105765000,2274144000,null,null,null,151066000,250947000
VRSK,0001442145,2017,FY,10-K,2018-02-20,2015-12-31,2015-01-01,0001442145-18-000008,null,507600000,3.07,3.01,703400000,null,20600000,278300000,4631200000,3298800000,211000000,39300000,663800000,166100000,3032000000,null,null,null,196600000,263900000
VRSK,0001442145,2017,Q1,10-Q,2017-05-02,2016-03-31,2016-01-01,0001442145-17-000025,null,92600000,0.55,0.54,192600000,null,null,71000000,4631200000,3298800000,1372000000,138300000,303900000,30800000,2277300000,null,null,null,50900000,263900000
VRSK,0001442145,2017,Q2,10-Q,2017-08-01,2016-06-30,2016-01-01,0001442145-17-000035,null,354400000,2.1,2.07,383800000,null,null,146600000,4631200000,3298800000,1372000000,138300000,385100000,62200000,2277300000,null,null,null,104700000,263900000
VRSK,0001442145,2017,Q3,10-Q,2017-10-31,2016-09-30,2016-01-01,0001442145-17-000045,null,481900000,2.86,2.81,582200000,null,null,224400000,4631200000,3298800000,1372000000,138300000,484400000,98600000,2277300000,null,null,null,149500000,263900000
VRSK,0001442145,2018,FY,10-K,2019-02-19,2016-12-31,2016-01-01,0001442145-19-000012,null,591200000,3.51,3.45,767600000,null,27400000,301600000,6020300000,4094900000,1372000000,138300000,577500000,156500000,2742300000,null,714400000,null,202200000,345500000
VRSK,0001442145,2018,Q1,10-Q,2018-05-01,2017-03-31,2017-01-01,0001442145-18-000024,null,108800000,null,null,187700000,null,null,75900000,6020300000,4094900000,1332400000,135100000,317900000,31100000,2280600000,null,null,null,52400000,345500000
VRSK,0001442145,2018,Q2,10-Q,2018-07-31,2017-06-30,2017-01-01,0001442145-18-000036,1025800000,229800000,null,null,382700000,null,null,154700000,6020300000,4094900000,1332400000,135100000,429800000,72500000,null,null,376600000,null,101300000,345500000
VRSK,0001442145,2018,Q3,10-Q,2018-10-30,2017-09-30,2017-01-01,0001442145-18-000055,1574900000,350500000,null,null,591200000,null,null,235600000,6020300000,4094900000,1332400000,135100000,592100000,113800000,null,null,575100000,null,161300000,345500000
VRSK,0001442145,2019,FY,10-K,2020-02-18,2017-12-31,2017-01-01,0001442145-20-000012,null,555100000,3.36,3.29,801200000,null,37400000,322800000,5900300000,3829700000,1332400000,139500000,743500000,183500000,3152700000,null,783800000,null,135900000,356400000
VRSK,0001442145,2019,Q1,10-Q,2019-04-30,2018-03-31,2018-01-01,0001442145-19-000022,null,133000000,null,null,194500000,null,null,91800000,5900300000,3829700000,1925400000,139500000,327000000,43200000,null,null,221200000,null,29300000,356400000
VRSK,0001442145,2019,Q2,10-Q,2019-07-30,2018-06-30,2018-01-01,0001442145-19-000036,null,286500000,null,null,406800000,null,null,184900000,5900300000,3829700000,1925400000,139500000,534200000,99300000,null,null,443600000,null,60800000,356400000
VRSK,0001442145,2019,Q3,10-Q,2019-10-30,2018-09-30,2018-01-01,0001442145-19-000048,null,452500000,null,null,617900000,null,null,281000000,5900300000,3829700000,1925400000,139500000,761000000,154500000,null,null,662200000,null,87600000,356400000
VRSK,0001442145,2020,FY,10-K,2021-02-23,2018-12-31,2018-01-01,0001437749-21-003789,null,598700000,3.63,3.56,834100000,null,45100000,378700000,7055200000,4794400000,1925400000,184600000,934400000,231000000,3224700000,null,886200000,null,121000000,441600000
VRSK,0001442145,2020,Q1,10-Q,2020-05-05,2019-03-31,2019-01-01,0001442145-20-000022,null,134400000,null,null,202400000,null,null,111400000,7055200000,4794400000,2070600000,184600000,366100000,45200000,null,null,231400000,null,35700000,441600000
VRSK,0001442145,2020,Q2,10-Q,2020-08-04,2019-06-30,2019-01-01,0001437749-20-016475,null,284800000,1.74,1.71,420700000,null,null,223700000,7055200000,4794400000,2070600000,184600000,566400000,92100000,null,null,474100000,null,72600000,441600000
VRSK,0001442145,2020,Q3,10-Q,2020-11-04,2019-09-30,2019-01-01,0001437749-20-022527,null,317700000,1.94,1.91,490300000,null,null,478700000,7055200000,4794400000,2070600000,184600000,779900000,152800000,null,null,717000000,null,78600000,441600000
VRSK,0001442145,2021,FY,10-K,2022-02-22,2019-12-31,2019-01-01,0001437749-22-004083,null,449900000,2.75,2.7,696900000,null,60000000,603500000,7561800000,4863600000,2698200000,218800000,956300000,216800000,3323500000,null,976800000,null,118500000,432400000
VRSK,0001442145,2021,Q1,10-Q,2021-05-04,2020-03-31,2020-01-01,0001437749-21-010755,null,171700000,1.05,1.04,252300000,null,null,112100000,7561800000,4863600000,2698200000,218800000,362600000,52900000,null,null,257700000,null,45000000,432400000
VRSK,0001442145,2021,Q2,10-Q,2021-08-03,2020-06-30,2020-01-01,0001437749-21-018343,null,350700000,2.16,2.12,512000000,null,null,208500000,7561800000,4863600000,2698200000,218800000,612100000,109600000,null,null,493500000,null,90800000,432400000
VRSK,0001442145,2021,Q3,10-Q,2021-11-02,2020-09-30,2020-01-01,0001437749-21-024931,null,536500000,3.3,3.24,787500000,null,null,304800000,7561800000,4863600000,2698200000,218800000,819200000,174400000,null,null,733400000,null,145000000,432400000
VRSK,0001442145,2022,FY,10-K,2023-02-28,2020-12-31,2020-01-01,0001437749-23-004945,null,712700000,4.38,4.31,956300000,null,44600000,308200000,7808100000,4965600000,2816500000,111900000,1068200000,246800000,3744200000,null,791700000,null,164600000,299900000
VRSK,0001442145,2022,Q1,10-Q,2022-05-03,2021-03-31,2021-01-01,0001437749-22-010671,null,168600000,1.04,1.03,250400000,null,null,119800000,7808100000,4965600000,2816500000,280300000,448700000,59200000,null,null,262400000,null,48700000,446300000
VRSK,0001442145,2022,Q2,10-Q,2022-08-02,2021-06-30,2021-01-01,0001437749-22-018437,null,322600000,1.99,1.97,517800000,null,null,231200000,7808100000,4965600000,2816500000,280300000,681900000,121700000,null,null,527300000,null,132500000,446300000
