ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
VRTX,0000875320,2016,FY,10-K,2017-02-23,2014-12-31,2014-01-01,0000875320-17-000017,580415000,-738555000,-3.14,-3.14,-692412000,null,855506000,305409000,2498587000,1404959000,939967000,569299000,-573112000,51201000,null,null,null,null,6958000,173838000
VRTX,0000875320,2016,Q1,10-Q,2016-05-03,2015-03-31,2015-01-01,0000875320-16-000078,138509000,-198606000,-0.83,-0.83,-171985000,null,215599000,85860000,2498587000,1404959000,939967000,625259000,-222236000,10558000,null,null,null,null,299000,177639000
VRTX,0000875320,2016,Q2,10-Q,2016-08-01,2015-06-30,2015-01-01,0000875320-16-000091,304585000,-387454000,-1.61,-1.61,-343149000,null,439457000,180254000,2498587000,1404959000,939967000,625259000,-332502000,23978000,null,null,null,null,30430000,177639000
VRTX,0000875320,2016,Q3,10-Q,2016-10-31,2015-09-30,2015-01-01,0000875320-16-000107,614401000,-482603000,-2,-2,-413175000,null,685741000,280026000,2498587000,1404959000,939967000,625259000,-394575000,32775000,null,null,null,null,31760000,173838000
VRTX,0000875320,2017,FY,10-K,2018-02-15,2015-12-31,2015-01-01,0000875320-18-000009,1032336000,-556334000,-2.31,-2.31,-466879000,null,995922000,376575000,2896787000,1558596000,1156582000,625259000,-365432000,45302000,null,null,null,null,30381000,200364000
VRTX,0000875320,2017,Q1,10-Q,2017-04-28,2016-03-31,2016-01-01,0000875320-17-000030,398080000,-41631000,-0.17,-0.17,-14330000,null,255860000,105214000,2896787000,1558596000,1156582000,714768000,-15137000,11974000,null,null,null,null,5485000,201083000
VRTX,0000875320,2017,Q2,10-Q,2017-07-28,2016-06-30,2016-01-01,0000875320-17-000047,829688000,-106156000,-0.43,-0.43,-10977000,null,526868000,216866000,2896787000,1558596000,1156582000,714768000,25723000,27892000,null,null,null,null,23615000,201083000
VRTX,0000875320,2017,Q3,10-Q,2017-10-30,2016-09-30,2016-01-01,0000875320-17-000060,1243471000,-144997000,-0.59,-0.59,-29704000,null,799238000,322921000,2896787000,1558596000,1156582000,714768000,91379000,41775000,null,null,null,null,24118000,201083000
VRTX,0000875320,2018,FY,10-K,2019-02-13,2016-12-31,2016-01-01,0000875320-19-000006,null,-112052000,-0.46,-0.46,9936000,null,1047690000,432829000,3546014000,1503708000,2028579000,714768000,236103000,56563000,null,null,null,null,16665000,281343000
VRTX,0000875320,2018,Q1,10-Q,2018-04-27,2017-03-31,2017-01-01,0000875320-18-000014,714718000,247756000,1.01,0.99,270842000,null,273563000,113326000,3546014000,1503708000,2028579000,1183945000,265692000,11099000,null,null,null,null,3985000,281343000
VRTX,0000875320,2018,Q2,10-Q,2018-07-26,2017-06-30,2017-01-01,0000875320-18-000022,null,265752000,1.08,1.06,323549000,null,563014000,240575000,3546014000,1503708000,2028579000,1183945000,447345000,28477000,null,null,null,null,8322000,281343000
VRTX,0000875320,2018,Q3,10-Q,2018-10-25,2017-09-30,2017-01-01,0000875320-18-000029,null,162800000,0.66,0.64,-2494000,null,1017961000,361285000,3546014000,1503708000,2028579000,1183945000,617431000,56437000,null,null,null,null,-117581000,281343000
VRTX,0000875320,2019,FY,10-K,2020-02-13,2017-12-31,2017-01-01,0000875320-20-000007,null,263484000,1.06,1.04,123243000,null,1324625000,496079000,6245898000,1810695000,null,1183945000,844942000,99421000,null,null,null,null,-107324000,409688000
VRTX,0000875320,2019,Q1,10-Q,2019-05-01,2018-03-31,2018-01-01,0000875320-19-000019,null,210263000,0.83,0.81,128901000,null,310553000,129808000,6245898000,1810695000,null,1665412000,252657000,29279000,null,null,null,null,-12659000,409688000
VRTX,0000875320,2019,Q2,10-Q,2019-08-01,2018-06-30,2018-01-01,0000875320-19-000037,null,417623000,1.65,1.61,301779000,null,648085000,267111000,6245898000,1810695000,null,1665412000,574360000,58891000,null,null,null,null,-2318000,409688000
VRTX,0000875320,2019,Q3,10-Q,2019-10-31,2018-09-30,2018-01-01,0000875320-19-000057,null,546369000,2.15,2.11,507428000,null,978595000,404406000,6245898000,1810695000,null,1665412000,955708000,79803000,null,null,null,null,5737000,409688000
VRTX,0000875320,2020,FY,10-K,2021-02-11,2018-12-31,2018-01-01,0000875320-21-000006,null,2096896000,8.24,8.09,635150000,null,1416476000,557616000,8318465000,2233221000,null,1665412000,1270286000,95449000,null,null,null,null,-1486862000,633518000
VRTX,0000875320,2020,Q1,10-Q,2020-05-01,2019-03-31,2019-01-01,0000875320-20-000019,null,268631000,1.05,1.03,276808000,null,339490000,147045000,8318465000,2233221000,null,2650134000,324784000,18041000,null,null,null,null,51534000,633518000
VRTX,0000875320,2020,Q2,10-Q,2020-07-31,2019-06-30,2019-01-01,0000875320-20-000030,null,536058000,2.09,2.06,546768000,null,718581000,303547000,8318465000,2233221000,null,2650134000,788533000,34399000,null,null,null,null,111245000,633518000
VRTX,0000875320,2020,Q3,10-Q,2020-10-30,2019-09-30,2019-01-01,0000875320-20-000043,null,593576000,2.32,2.28,646101000,null,1274529000,463221000,8318465000,2233221000,4435203000,2650134000,1123322000,58690000,null,null,null,null,124393000,633518000
