ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
WBD,0001437107,2016,FY,10-K,2017-02-14,2014-12-31,2014-01-01,0001437107-17-000007,null,1139000000,null,null,2061000000,null,null,1692000000,15864000000,10172000000,null,408000000,null,120000000,7735000000,null,2124000000,null,610000000,null
WBD,0001437107,2016,Q1,10-Q,2016-05-05,2015-03-31,2015-01-01,0001437107-16-000072,1537000000,250000000,null,null,482000000,null,null,400000000,15864000000,10172000000,null,367000000,null,34000000,7735000000,null,565000000,null,125000000,null
WBD,0001437107,2016,Q2,10-Q,2016-08-02,2015-06-30,2015-01-01,0001437107-16-000084,3191000000,536000000,null,null,1039000000,null,null,830000000,15864000000,10172000000,null,367000000,null,52000000,7735000000,null,1129000000,null,264000000,null
WBD,0001437107,2016,Q3,10-Q,2016-11-01,2015-09-30,2015-01-01,0001437107-16-000106,4748000000,815000000,null,null,1544000000,null,null,1224000000,15864000000,10172000000,null,367000000,null,76000000,7735000000,null,1703000000,null,394000000,null
WBD,0001437107,2017,FY,10-K,2018-02-28,2015-12-31,2015-01-01,0001437107-18-000028,null,1034000000,null,null,1985000000,null,null,1669000000,15672000000,10262000000,null,367000000,null,103000000,7923000000,null,2343000000,null,511000000,null
WBD,0001437107,2017,Q1,10-Q,2017-05-09,2016-03-31,2016-01-01,0001437107-17-000017,1561000000,263000000,null,null,489000000,null,null,408000000,15672000000,10262000000,null,390000000,null,15000000,7923000000,null,592000000,null,111000000,null
WBD,0001437107,2017,Q2,10-Q,2017-08-04,2016-06-30,2016-01-01,0001437107-17-000030,3269000000,671000000,null,null,1075000000,null,null,808000000,15672000000,10262000000,null,390000000,null,43000000,7923000000,null,1195000000,null,206000000,null
WBD,0001437107,2017,Q3,10-Q,2017-11-02,2016-09-30,2016-01-01,0001437107-17-000063,4825000000,890000000,null,null,1533000000,null,null,1227000000,15672000000,10262000000,null,390000000,null,69000000,7923000000,null,1787000000,null,302000000,null
WBD,0001437107,2018,FY,10-K,2019-03-01,2016-12-31,2016-01-01,0001437107-19-000013,6497000000,1194000000,null,null,2058000000,null,null,1690000000,22555000000,17532000000,4610000000,390000000,1380000000,88000000,14785000000,null,2432000000,null,453000000,null
WBD,0001437107,2018,Q1,10-Q,2018-05-10,2017-03-31,2017-01-01,0001437107-18-000059,1613000000,215000000,null,null,487000000,null,null,415000000,22555000000,17532000000,4610000000,300000000,255000000,47000000,14785000000,null,607000000,null,55000000,null
WBD,0001437107,2018,Q2,10-Q,2018-08-08,2017-06-30,2017-01-01,0001437107-18-000076,3358000000,589000000,null,null,1117000000,null,null,804000000,22555000000,17532000000,4610000000,300000000,443000000,78000000,14785000000,null,1241000000,null,148000000,null
WBD,0001437107,2018,Q3,10-Q,2018-11-09,2017-09-30,2017-01-01,0001437107-18-000091,5009000000,807000000,null,null,1550000000,null,null,1261000000,22555000000,17532000000,4610000000,300000000,1167000000,103000000,14785000000,null,1911000000,null,89000000,null
WBD,0001437107,2019,FY,10-K,2020-02-27,2017-12-31,2017-01-01,0001437107-20-000006,null,-337000000,null,null,713000000,null,null,1768000000,32550000000,22033000000,8386000000,986000000,1629000000,135000000,16793000000,null,null,null,176000000,null
WBD,0001437107,2019,Q1,10-Q,2019-05-02,2018-03-31,2018-01-01,0001437107-19-000026,2307000000,-8000000,null,null,204000000,null,null,609000000,32550000000,22033000000,8386000000,986000000,160000000,48000000,16793000000,null,1060000000,null,-20000000,null
WBD,0001437107,2019,Q2,10-Q,2019-08-06,2018-06-30,2018-01-01,0001437107-19-000039,5152000000,208000000,null,null,854000000,null,null,1296000000,32550000000,22033000000,8386000000,986000000,716000000,82000000,16793000000,null,2055000000,null,103000000,null
WBD,0001437107,2019,Q3,10-Q,2019-11-07,2018-09-30,2018-01-01,0001437107-19-000050,7744000000,325000000,null,null,1223000000,null,null,1963000000,32550000000,22033000000,8386000000,986000000,1647000000,106000000,16793000000,null,2989000000,null,146000000,null
