ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
WDAY,0001327811,2016,FY,10-K,2016-03-22,2014-01-31,2013-02-01,0001327811-16-000032,468938000,-172509000,null,null,-153282000,null,182116000,null,2350090000,1224115000,592283000,84158000,46263000,null,null,null,null,622220000,1678000,188357000
WDAY,0001327811,2016,Q1,10-Q,2015-06-05,2014-04-30,2014-02-01,0001327811-15-000014,159737000,null,null,null,-52083000,null,65171000,null,2358633000,1232658000,1125975000,581326000,null,null,null,null,null,211820000,null,188357000
WDAY,0001327811,2016,Q2,10-Q,2015-09-04,2014-07-31,2014-02-01,0001327811-15-000021,346517000,null,null,null,-113852000,null,142635000,null,2358633000,1232658000,1125975000,581326000,null,null,null,null,null,460369000,null,188357000
WDAY,0001327811,2016,Q3,10-Q,2015-12-04,2014-10-31,2014-02-01,0001327811-15-000027,561587000,null,null,null,-165318000,null,227905000,null,2358633000,1232658000,1125975000,581326000,53728000,null,null,null,null,726905000,null,188357000
WDAY,0001327811,2017,FY,10-K,2017-03-20,2015-01-31,2014-02-01,0001327811-17-000008,787860000,-247982000,null,null,-215702000,null,316868000,null,2730094000,1593937000,1187217000,581326000,102003000,null,null,null,null,1003562000,2010000,293407000
WDAY,0001327811,2017,Q1,10-Q,2016-06-01,2015-04-30,2015-02-01,0001327811-16-000041,250957000,null,null,null,-53404000,null,99335000,null,2730094000,1593937000,1136157000,298192000,92199000,null,null,null,null,304361000,918000,293407000
WDAY,0001327811,2017,Q2,10-Q,2016-09-02,2015-07-31,2015-02-01,0001327811-16-000050,533653000,null,null,null,-121044000,null,214680000,null,2730094000,1593937000,1136157000,298192000,107387000,null,null,null,null,654697000,-1000000,293407000
WDAY,0001327811,2017,Q3,10-Q,2016-12-02,2015-10-31,2015-02-01,0001327811-16-000062,838919000,null,null,null,-191218000,null,338700000,null,2730094000,1593937000,1136157000,298192000,160146000,null,null,null,null,1030137000,-165000,293407000
WDAY,0001327811,2018,FY,10-K,2018-03-14,2016-01-31,2015-02-01,0001327811-18-000009,1156690000,-275048000,null,null,-249789000,null,469944000,null,3268282000,1991674000,1201228000,300087000,258637000,null,null,null,null,1406479000,1017000,409780000
WDAY,0001327811,2018,Q1,10-Q,2017-06-02,2016-04-30,2016-02-01,0001327811-17-000015,347677000,null,null,null,-71530000,null,141778000,null,3268282000,1991674000,1276608000,404604000,162817000,null,null,null,null,419207000,1135000,409780000
WDAY,0001327811,2018,Q2,10-Q,2017-08-31,2016-07-31,2016-02-01,0001327811-17-000023,721334000,null,null,null,-158215000,null,303664000,null,3268282000,1991674000,1276608000,405529000,169339000,null,null,null,null,879549000,1070000,409780000
WDAY,0001327811,2018,Q3,10-Q,2017-11-30,2016-10-31,2016-02-01,0001327811-17-000032,1134856000,null,null,null,-264147000,null,488975000,null,3268282000,1991674000,1276608000,386557000,240895000,null,null,null,null,1399003000,2147000,409780000
WDAY,0001327811,2019,FY,10-K,2019-03-18,2017-01-31,2016-02-01,0001327811-19-000038,null,-384699000,null,null,-353086000,null,680531000,null,4947424000,3367059000,1226280000,539923000,350626000,null,null,null,null,1927526000,-814000,528208000
WDAY,0001327811,2019,Q1,10-Q,2018-06-01,2017-04-30,2017-02-01,0001327811-18-000022,479861000,null,null,null,-60200000,null,196439000,null,4947424000,3367059000,1580365000,498931000,180022000,null,null,null,null,540061000,2181000,528208000
WDAY,0001327811,2019,Q2,10-Q,2018-09-05,2017-07-31,2017-02-01,0001327811-18-000024,null,null,null,null,-141829000,null,417542000,null,4947424000,3367059000,1580365000,748599000,195148000,null,null,null,null,1147010000,4022000,528208000
WDAY,0001327811,2019,Q3,10-Q,2018-12-03,2017-10-31,2017-02-01,0001327811-18-000058,null,null,null,null,-221888000,null,657130000,null,4947424000,3367059000,1580365000,1336984000,339179000,null,null,null,null,1782458000,5767000,528208000
WDAY,0001327811,2020,FY,10-K,2020-03-03,2018-01-31,2017-02-01,0001327811-20-000022,null,-321222000,null,null,-303223000,null,910584000,null,5520746000,3562304000,1580365000,1134355000,465727000,null,null,null,null,2446273000,6436000,704680000
WDAY,0001327811,2020,Q1,10-Q,2019-05-30,2018-04-30,2018-02-01,0001327811-19-000092,null,null,null,null,-71264000,null,263584000,null,5520746000,3562304000,1580365000,1036045000,184233000,null,null,null,null,null,-702000,704680000
WDAY,0001327811,2020,Q2,10-Q,2019-08-30,2018-07-31,2018-02-01,0001327811-19-000156,null,null,null,null,-160246000,null,556424000,null,5520746000,3562304000,1775224000,1693743000,241849000,null,null,null,null,null,-1915000,704680000
WDAY,0001327811,2020,Q3,10-Q,2019-12-04,2018-10-31,2018-02-01,0001327811-19-000196,null,null,null,null,-343001000,null,874427000,null,5520746000,3562304000,1833149000,540430000,356145000,null,null,null,null,null,-4722000,704680000
WDAY,0001327811,2021,FY,10-K,2021-03-02,2019-01-31,2018-02-01,0001327811-21-000020,null,-418258000,null,null,-463284000,null,1211832000,null,6816365000,4329814000,1958442000,638554000,606658000,null,1262286000,null,null,3285464000,-5494000,877578000
WDAY,0001327811,2021,Q1,10-Q,2020-05-28,2019-04-30,2019-02-01,0001327811-20-000070,null,null,null,null,-123386000,null,347831000,null,6816365000,4329814000,2044748000,781772000,209163000,null,1262286000,null,null,948441000,30000,877578000
WDAY,0001327811,2021,Q2,10-Q,2020-08-28,2019-07-31,2019-02-01,0001327811-20-000129,null,null,null,null,-245883000,null,725953000,null,6816365000,4329814000,2210285000,619514000,309482000,null,1262286000,null,null,1958690000,-1861000,877578000
WDAY,0001327811,2021,Q3,10-Q,2020-11-20,2019-10-31,2019-02-01,0001327811-20-000167,null,-352716000,null,null,-356133000,null,1127695000,null,6816365000,4329814000,2319179000,912748000,567484000,null,1262286000,null,null,3007040000,-518000,877578000
WDAY,0001327811,2022,FY,10-K,2022-02-28,2020-01-31,2019-02-01,0001327811-22-000030,null,-480674000,-2.12,-2.12,-502230000,null,1549906000,null,8718411000,5440577000,2486551000,731141000,864598000,null,1795014000,null,null,4129436000,-1773000,1032484000
WDAY,0001327811,2022,Q1,10-Q,2021-05-26,2020-04-30,2020-02-01,0001327811-21-000054,null,-158368000,-0.68,-0.68,-144457000,null,443484000,null,8718411000,5440577000,2602004000,1214213000,263683000,null,1795014000,null,null,1162842000,2938000,1032484000
WDAY,0001327811,2022,Q2,10-Q,2021-08-26,2020-07-31,2020-02-01,0001327811-21-000133,null,-186384000,-0.79,-0.79,-161211000,null,862165000,null,8718411000,5440577000,2838478000,1239696000,420893000,null,1795014000,null,null,2241563000,2747000,1032484000
WDAY,0001327811,2022,Q3,10-Q,2021-11-18,2020-10-31,2020-02-01,0001327811-21-000174,null,-210724000,-0.89,-0.89,-175288000,null,1282127000,null,8718411000,5440577000,3078054000,1067038000,714695000,null,1795014000,null,null,3361600000,4164000,1032484000
WDAY,0001327811,2023,FY,10-K,2023-02-27,2021-01-31,2020-02-01,0001327811-23-000024,null,-282431000,-1.19,-1.19,-248599000,null,1721222000,null,10498505000,5963423000,3277834000,1384181000,1268441000,null,1839797000,null,null,4566595000,7297000,1242545000
WDAY,0001327811,2023,Q1,10-Q,2022-05-26,2021-04-30,2021-02-01,0001327811-22-000091,null,-46522000,-0.19,-0.19,-38313000,null,441616000,null,10498505000,5963423000,3405441000,959358000,452428000,null,1839797000,null,null,1213346000,-842000,1242545000
WDAY,0001327811,2023,Q2,10-Q,2022-08-25,2021-07-31,2021-02-01,0001327811-22-000154,null,59214000,0.24,0.23,-39433000,null,885867000,null,10498505000,5963423000,3867990000,1087070000,650901000,null,1839797000,null,null,2474827000,-4713000,1242545000
WDAY,0001327811,2023,Q3,10-Q,2022-11-29,2021-10-31,2021-02-01,0001327811-22-000184,null,102626000,0.42,0.4,-15488000,null,1341482000,null,10498505000,5963423000,4215816000,1297259000,1035555000,null,1839797000,null,null,3778145000,-2623000,1242545000
WDAY,0001327811,2024,FY,10-K,2024-03-08,2022-01-31,2021-02-01,0001327811-24-000044,null,29000000,0.12,0.12,-116000000,null,1879000000,null,13486000000,7901000000,4535000000,1534000000,1651000000,null,2976000000,null,null,5255000000,-13000000,1570000000
WDAY,0001327811,2024,Q1,10-Q,2023-05-25,2022-04-30,2022-02-01,0001327811-23-000078,null,-102173000,-0.41,-0.41,-72843000,null,541509000,null,13486238000,7900670000,4780807000,2776336000,439717000,null,2975934000,null,null,1507500000,9167000,1570086000
WDAY,0001327811,2024,Q2,10-Q,2023-08-24,2022-07-31,2022-02-01,0001327811-23-000150,null,-166331000,-0.66,-0.66,-106921000,null,1089344000,null,13486238000,7900670000,5127808000,2486540000,554075000,null,2975934000,null,null,3077376000,6458000,1570086000
WDAY,0001327811,2024,Q3,10-Q,2023-11-28,2022-10-31,2022-02-01,0001327811-23-000202,null,-241052000,-0.95,-0.95,-133242000,null,1655071000,null,13486238000,7900670000,5409108000,1575955000,962743000,null,2975934000,null,null,4702800000,59021000,1570086000
WDAY,0001327811,2025,FY,10-K,2025-03-11,2023-01-31,2022-02-01,0001327811-25-000056,null,-367000000,-1.44,-1.44,-222000000,null,2247000000,null,16452000000,8370000000,5585000000,1886000000,1657000000,364000000,null,null,null,6438000000,107000000,1639000000
WDAY,0001327811,2025,Q1,10-Q,2024-05-29,2023-04-30,2023-02-01,0001327811-24-000093,null,0,0,0,-20000000,null,600000000,null,16452000000,8370000000,5942000000,1444000000,277000000,59000000,2980000000,null,null,1704000000,7000000,1639000000
WDAY,0001327811,2025,Q1,10-Q,2025-05-23,2024-04-30,2024-02-01,0001327811-25-000107,null,107000000,0.4,0.4,64000000,null,656000000,null,17977000000,8943000000,8163000000,1752000000,372000000,81000000,null,null,null,1926000000,16000000,1950000000
