ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
XEL,0000072903,2016,FY,10-K,2017-02-24,2014-12-31,2014-01-01,0000072903-17-000008,11686135000,1021306000,2.03,2.03,1948130000,null,null,null,38821477000,null,10600920000,107144000,2659486000,null,null,null,null,null,523815000,724606000
XEL,0000072903,2016,Q1,10-Q,2016-05-10,2015-03-31,2015-01-01,0000072903-16-000136,2962219000,152066000,0.3,0.3,350845000,null,null,null,38961696000,null,10600920000,79608000,985394000,null,null,null,null,null,83580000,724606000
XEL,0000072903,2016,Q2,10-Q,2016-08-04,2015-06-30,2015-01-01,0000072903-16-000157,5477353000,348997000,0.69,0.69,773690000,null,null,null,38961696000,null,10600920000,79608000,1509045000,null,null,null,null,null,193461000,724606000
XEL,0000072903,2016,Q3,10-Q,2016-10-28,2015-09-30,2015-01-01,0000072903-16-000171,8378665000,775460000,1.53,1.53,1559502000,null,null,null,38961696000,null,10600920000,79608000,2489922000,null,null,null,null,null,432490000,724606000
XEL,0000072903,2017,FY,10-K,2018-02-23,2015-12-31,2015-01-01,0000072903-18-000009,11024000000,984000000,1.94,1.94,2000000000,null,null,null,41155000000,null,11021000000,80000000,3038000000,null,null,null,null,null,543000000,776000000
XEL,0000072903,2017,Q1,10-Q,2017-04-28,2016-03-31,2016-01-01,0000072903-17-000017,2772273000,241312000,0.47,0.47,489870000,null,null,null,41155277000,null,11020849000,84940000,802550000,null,null,null,null,null,128650000,776289000
XEL,0000072903,2017,Q2,10-Q,2017-07-28,2016-06-30,2016-01-01,0000072903-17-000043,5272122000,438107000,0.86,0.86,921451000,null,null,null,41155277000,null,11020849000,84940000,1425026000,null,null,null,null,null,233047000,776289000
XEL,0000072903,2017,Q3,10-Q,2017-10-27,2016-09-30,2016-01-01,0000072903-17-000064,8312269000,895902000,1.76,1.76,1748505000,null,null,null,41155277000,null,11020849000,84940000,2425341000,null,null,null,null,null,471459000,776289000
XEL,0000072903,2018,FY,10-K,2019-02-22,2016-12-31,2016-01-01,0000072903-19-000010,11107000000,1123000000,2.21,2.21,2240000000,null,null,null,43030000000,null,11455000000,85000000,3052000000,null,null,null,null,null,581000000,797000000
XEL,0000072903,2018,Q1,10-Q,2018-04-27,2017-03-31,2017-01-01,0000072903-18-000017,2946000000,239000000,0.47,0.47,492000000,null,null,null,43030000000,null,11455000000,85000000,718000000,null,null,null,null,null,117000000,797000000
XEL,0000072903,2018,Q2,10-Q,2018-07-27,2017-06-30,2017-01-01,0000072903-18-000042,5591000000,467000000,0.92,0.92,959000000,null,null,null,43030000000,null,11455000000,84000000,1292000000,null,null,null,null,null,219000000,797000000
XEL,0000072903,2018,Q3,10-Q,2018-10-26,2017-09-30,2017-01-01,0000072903-18-000056,8609000000,959000000,1.89,1.88,1784000000,null,null,null,43030000000,null,11455000000,84000000,2367000000,null,null,null,null,null,424000000,797000000
XEL,0000072903,2019,FY,10-K,2020-02-21,2017-12-31,2017-01-01,0000072903-20-000011,null,1148000000,2.26,2.25,2223000000,null,null,null,45987000000,null,12222000000,85000000,3126000000,null,null,null,null,null,542000000,860000000
XEL,0000072903,2019,Q1,10-Q,2019-04-26,2018-03-31,2018-01-01,0000072903-19-000019,2951000000,291000000,0.57,0.57,480000000,null,null,null,45987000000,null,12222000000,83000000,887000000,null,null,null,null,null,59000000,860000000
XEL,0000072903,2019,Q2,10-Q,2019-08-01,2018-06-30,2018-01-01,0000072903-19-000047,5609000000,556000000,1.09,1.09,930000000,null,null,null,45987000000,null,12222000000,83000000,1437000000,null,null,null,null,null,114000000,860000000
XEL,0000072903,2019,Q3,10-Q,2019-10-25,2018-09-30,2018-01-01,0000072903-19-000074,8657000000,1047000000,2.05,2.05,1626000000,null,null,null,45987000000,null,12222000000,83000000,2493000000,null,16209000000,null,null,null,187000000,860000000
XEL,0000072903,2020,FY,10-K,2021-02-17,2018-12-31,2018-01-01,0000072903-21-000012,null,1261000000,2.47,2.47,1965000000,null,null,null,50448000000,null,13239000000,129000000,3122000000,null,null,null,null,null,181000000,837000000
XEL,0000072903,2020,Q1,10-Q,2020-05-07,2019-03-31,2019-01-01,0000072903-20-000022,null,315000000,0.61,0.61,486000000,null,null,null,50448000000,null,13239000000,248000000,793000000,null,18109000000,null,null,null,25000000,837000000
XEL,0000072903,2020,Q2,10-Q,2020-07-31,2019-06-30,2019-01-01,0000072903-20-000055,null,553000000,1.07,1.07,896000000,null,null,null,50448000000,null,13239000000,248000000,1334000000,null,18109000000,null,null,null,49000000,837000000
