ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
ZS,0001713683,2018,FY,10-K,2018-09-13,2016-07-31,2015-08-01,0001628280-18-011833,null,-27438000,null,null,-26843000,60198000,20940000,null,182902000,133067000,-95332000,83842000,-11916000,5402000,null,null,null,87041000,468000,39052000
ZS,0001713683,2018,Q3,10-Q,2018-06-07,2018-04-30,2017-08-01,0001713683-18-000007,1070000000,-22191000,null,null,-22019000,69735000,24952000,null,182902000,133067000,-151142000,92842000,-2311000,6291000,null,null,19438000,91754000,551000,39052000
ZS,0001713683,2019,FY,10-K,2019-09-18,2017-07-31,2016-08-01,0001713683-19-000030,null,-35460000,null,null,-35073000,98245000,33561000,null,447781000,207545000,-124740000,87978000,-6019000,7783000,null,null,27472000,133318000,877000,61611000
ZS,0001713683,2019,Q1,10-Q,2018-12-06,2017-10-31,2017-08-01,0001713683-18-000009,null,-11398000,null,null,-11277000,31590000,8809000,null,447781000,207545000,-151142000,75760000,-4352000,4010000,null,null,8271000,42867000,289000,61611000
ZS,0001713683,2019,Q2,10-Q,2019-03-06,2018-01-31,2017-08-01,0001713683-19-000006,null,-17913000,null,null,-17676000,67887000,17992000,null,447781000,207545000,-151142000,71569000,-5468000,7045000,null,null,16950000,85563000,646000,61611000
ZS,0001713683,2019,Q3,10-Q,2019-06-05,2018-04-30,2017-08-01,0001713683-19-000016,null,-26684000,null,null,-26700000,107626000,27899000,null,447781000,207545000,-151142000,287443000,2649000,11008000,null,null,26374000,134326000,1003000,61611000
ZS,0001713683,2020,FY,10-K,2020-09-17,2018-07-31,2017-08-01,0001713683-20-000163,null,-33646000,null,null,-34624000,152299000,39379000,null,604162000,295604000,-151142000,135579000,17307000,13397000,861615000,null,37875000,186923000,1337000,93341000
ZS,0001713683,2020,Q1,10-Q,2019-12-06,2018-10-31,2018-08-01,0001713683-19-000053,null,-7588000,null,null,-8663000,51199000,13186000,null,604162000,295604000,240236000,42786000,11014000,5414000,null,null,12099000,59862000,327000,93341000
ZS,0001713683,2020,Q2,10-Q,2020-03-04,2019-01-31,2018-08-01,0001713683-20-000037,null,-11143000,null,null,-13845000,110230000,28257000,null,604162000,295604000,240236000,67467000,26721000,8607000,null,null,27370000,124075000,874000,93341000
ZS,0001713683,2020,Q3,10-Q,2020-06-03,2019-04-30,2018-08-01,0001713683-20-000095,null,-23379000,null,null,-27382000,174398000,44756000,null,604162000,295604000,240236000,54974000,40204000,16698000,null,null,42330000,201780000,1510000,93341000
ZS,0001713683,2021,FY,10-K,2021-09-16,2019-07-31,2018-08-01,0001713683-21-000175,null,-28655000,-0.23,-0.23,-35313000,243167000,61969000,null,1833458000,1348629000,240236000,141851000,58027000,25520000,861615000,null,59669000,278480000,743000,147584000
ZS,0001713683,2021,Q1,10-Q,2020-12-08,2019-10-31,2019-08-01,0001713683-20-000193,null,-17076000,null,null,-18275000,74032000,20271000,null,1833458000,1348629000,308558000,69346000,21429000,10210000,861615000,null,19558000,92307000,794000,147584000
ZS,0001713683,2021,Q1,10-Q,2021-12-08,2020-10-31,2020-08-01,0001713683-21-000238,null,-55006000,-0.41,-0.41,-42667000,110851000,35770000,null,2257631000,1728736000,484829000,275898000,53532000,8904000,913538000,null,31727000,153518000,498000,257109000
ZS,0001713683,2021,Q2,10-Q,2021-03-04,2020-01-31,2019-08-01,0001713683-21-000037,null,-46230000,null,null,-48555000,155062000,40977000,null,1833458000,1348629000,308558000,76534000,26860000,15099000,861615000,null,39796000,203617000,1510000,147584000
ZS,0001713683,2021,Q3,10-Q,2021-06-03,2020-04-30,2019-08-01,0001713683-21-000096,null,-65567000,null,null,-69069000,241007000,65094000,null,1833458000,1348629000,308558000,124592000,47682000,24793000,861615000,null,64375000,310076000,1931000,147584000
ZS,0001713683,2022,FY,10-K,2022-09-15,2020-07-31,2019-08-01,0001713683-22-000081,null,-115116000,-0.89,-0.89,-113956000,335536000,97879000,null,2257631000,1728736000,308558000,275898000,79317000,43072000,913538000,null,95733000,449492000,2388000,257109000
ZS,0001713683,2022,Q2,10-Q,2022-03-09,2021-01-31,2020-08-01,0001713683-22-000029,null,-122547000,-0.91,-0.91,-96565000,233760000,77521000,null,2257631000,1728736000,484829000,275898000,83936000,19403000,913538000,null,65862000,330325000,2169000,257109000
ZS,0001713683,2022,Q3,10-Q,2022-06-09,2021-04-30,2020-08-01,0001713683-22-000056,null,-181006000,-1.34,-1.34,-140415000,371187000,118473000,null,2257631000,1728736000,484829000,275898000,157304000,34215000,913538000,null,104839000,511602000,4006000,257109000
ZS,0001713683,2023,FY,10-K,2023-09-14,2021-07-31,2020-08-01,0001713683-23-000113,null,-262029000,-1.93,-1.93,-207812000,522783000,174653000,null,2832665000,2259365000,484829000,1013210000,202040000,48165000,968674000,null,150317000,730595000,4851000,399745000
ZS,0001713683,2023,Q1,10-Q,2022-12-07,2021-10-31,2021-08-01,0001713683-22-000123,null,-90801000,-0.65,-0.65,-74371000,178348000,65216000,null,2832665000,2259365000,528895000,1013210000,93271000,6454000,968674000,null,52169000,252719000,2479000,399745000
ZS,0001713683,2023,Q1,10-Q,2023-12-06,2022-10-31,2022-08-01,0001713683-23-000171,null,-68162000,-0.48,-0.48,-69087000,278851000,74946000,null,3608317000,2883205000,573300000,1262206000,128457000,25202000,1134159000,null,76697000,347938000,4746000,582636000
ZS,0001713683,2023,Q2,10-Q,2023-03-08,2022-01-31,2021-08-01,0001713683-23-000030,null,-191221000,-1.37,-1.37,-158303000,376128000,134411000,null,2832665000,2259365000,528895000,1013210000,141533000,20442000,968674000,null,109952000,534431000,4640000,399745000
ZS,0001713683,2023,Q3,10-Q,2023-06-07,2022-04-30,2021-08-01,0001713683-23-000059,null,-292626000,-2.08,-2.08,-244900000,598913000,210989000,null,2832665000,2259365000,528895000,1013210000,218774000,48046000,968674000,null,173974000,843813000,4150000,399745000
ZS,0001713683,2024,FY,10-K,2024-09-12,2022-07-31,2021-08-01,0001713683-24-000109,null,-390278000,-2.77,-2.77,-327429000,848664000,289139000,null,3608317000,2883205000,528895000,1262206000,321912000,69296000,1134159000,null,242282000,1176093000,6648000,582636000
ZS,0001713683,2024,Q2,10-Q,2024-03-06,2023-01-31,2022-08-01,0001713683-24-000041,null,-125615000,-0.87,-0.87,-134325000,578845000,160711000,null,3608317000,2883205000,573300000,1262206000,217938000,43883000,1134159000,null,164301000,713170000,8438000,582636000
ZS,0001713683,2024,Q3,10-Q,2024-06-07,2023-04-30,2022-08-01,0001713683-24-000075,null,-171661000,-1.19,-1.19,-190071000,901796000,253348000,null,3608317000,2883205000,573300000,1262206000,326407000,70127000,1134159000,null,260150000,1091867000,15123000,582636000
ZS,0001713683,2025,FY,10-K,2025-09-11,2023-07-31,2022-08-01,0001713683-25-000158,null,-202335000,-1.4,-1.4,-234623000,1254120000,350786000,null,4704968000,3430866000,573300000,1423080000,462343000,97197000,null,null,362832000,1488743000,19771000,736529000
ZS,0001713683,2025,Q1,10-Q,2024-12-05,2023-10-31,2023-08-01,0001713683-24-000150,null,-33483000,-0.23,-0.23,-46057000,385309000,113539000,null,4704968000,3430866000,725112000,1423080000,260806000,28659000,1142275000,null,111394000,431366000,8997000,736529000
ZS,0001713683,2025,Q2,10-Q,2025-03-10,2024-01-31,2023-08-01,0001713683-25-000033,null,-61952000,-0.42,-0.42,-91514000,793109000,235720000,null,4704968000,3430866000,725112000,1423080000,402875000,59553000,1142275000,null,228593000,884623000,16961000,736529000
ZS,0001713683,2025,Q3,10-Q,2025-05-29,2024-04-30,2023-08-01,0001713683-25-000079,null,-42828000,-0.29,-0.29,-94527000,1227979000,360678000,null,4704968000,3430866000,725112000,1423080000,576289000,95204000,1142275000,null,346924000,1322506000,18703000,736529000
