ticker,cik,form,fy,fp,filed,accn,end,start,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
NVDA,0001045810,10-K,2015,FY,2015-03-12,0001045810-15-000036,2013-01-27,2012-01-30,4280159000,562536000,0.91,0.9,648239000,2226343000,1147282000,430822000,null,null,null,null,824172000,null,null,null,2053816000,1578104000,99503000,null
NVDA,0001045810,10-K,2015,FY,2015-03-12,0001045810-15-000036,2013-04-28,2013-01-28,954739000,77891000,0.13,0.13,null,518568000,null,null,null,null,null,null,null,null,null,null,436171000,null,null,null
NVDA,0001045810,10-K,2015,FY,2015-03-12,0001045810-15-000036,2013-07-28,2013-04-29,977238000,96448000,0.16,0.16,null,545538000,null,null,null,null,null,null,null,null,null,null,431700000,null,null,null
NVDA,0001045810,10-K,2015,FY,2015-03-12,0001045810-15-000036,2013-10-27,2013-07-29,1053967000,118734000,0.2,0.2,null,584415000,null,null,null,null,null,null,null,null,null,null,469552000,null,null,null
NVDA,0001045810,10-K,2015,FY,2015-03-12,0001045810-15-000036,2014-01-26,2013-01-28,4130162000,439990000,0.75,0.74,496227000,2267763000,1335834000,435702000,null,null,null,null,835146000,null,null,null,1862399000,1771536000,70264000,null
NVDA,0001045810,10-K,2015,FY,2015-03-12,0001045810-15-000036,2014-01-26,2013-10-28,1144218000,146917000,0.26,0.25,null,619242000,null,null,null,null,null,null,null,null,null,null,524976000,null,null,null
NVDA,0001045810,10-K,2015,FY,2015-03-12,0001045810-15-000036,2014-04-27,2014-01-27,1102787000,136516000,0.24,0.24,null,604202000,null,null,null,null,null,null,null,null,null,null,498585000,null,null,null
NVDA,0001045810,10-K,2015,FY,2015-03-12,0001045810-15-000036,2014-07-27,2014-04-28,1102824000,127976000,0.23,0.22,null,618974000,null,null,null,null,null,null,null,null,null,null,483850000,null,null,null
NVDA,0001045810,10-K,2015,FY,2015-03-12,0001045810-15-000036,2014-10-26,2014-07-28,1225382000,172967000,0.32,0.31,null,676698000,null,null,null,null,null,null,null,null,null,null,548684000,null,null,null
NVDA,0001045810,10-K,2015,FY,2015-03-12,0001045810-15-000036,2015-01-25,2014-01-27,4681507000,630587000,1.14,1.12,758989000,2599477000,1359725000,480763000,null,null,null,null,905656000,null,null,null,2082030000,1840488000,124249000,null
NVDA,0001045810,10-K,2015,FY,2015-03-12,0001045810-15-000036,2015-01-25,2014-10-27,1250514000,193128000,0.35,0.35,null,699603000,null,null,null,null,null,null,null,null,null,null,550911000,null,null,null
NVDA,0001045810,10-K,2015,FY,2015-03-12,0001045810-15-000036,2014-01-26,,null,null,null,null,null,null,null,null,7250894000,null,4456398000,1151587000,null,null,1356375000,null,null,null,null,426357000
NVDA,0001045810,10-K,2015,FY,2015-03-12,0001045810-15-000036,2015-01-25,,null,null,null,null,null,null,null,null,7201368000,null,4417982000,496654000,null,null,1384342000,null,null,null,null,473637000
NVDA,0001045810,10-K,2015,FY,2015-03-12,0001045810-15-000036,2012-01-29,,null,null,null,null,null,null,null,null,null,null,4145724000,667876000,null,null,null,null,null,null,null,null
NVDA,0001045810,10-K,2015,FY,2015-03-12,0001045810-15-000036,2013-01-27,,null,null,null,null,null,null,null,null,null,null,4827703000,732786000,null,null,null,null,null,null,null,null
NVDA,0001045810,10-K,2016,FY,2016-03-17,0001045810-16-000205,2014-01-26,2013-01-28,4130000000,440000000,0.75,0.74,496000000,2268000000,1336000000,436000000,null,null,null,null,835000000,null,null,null,1862000000,1772000000,70000000,null
NVDA,0001045810,10-K,2016,FY,2016-03-17,0001045810-16-000205,2014-04-27,2014-01-27,1103000000,137000000,0.24,0.24,null,604000000,null,null,null,null,null,null,null,null,null,null,499000000,null,null,null
NVDA,0001045810,10-K,2016,FY,2016-03-17,0001045810-16-000205,2014-07-27,2014-04-28,1103000000,128000000,0.23,0.22,null,619000000,null,null,null,null,null,null,null,null,null,null,484000000,null,null,null
NVDA,0001045810,10-K,2016,FY,2016-03-17,0001045810-16-000205,2014-10-26,2014-07-28,1225000000,173000000,0.32,0.31,null,677000000,null,null,null,null,null,null,null,null,null,null,548000000,null,null,null
