ticker,cik,metric,fy,form,fp,filed,value,unit,tag_used,source,carry_from_fy,accn,start,end
NVDA,0001045810,Revenues,2014,10-K,FY,2015-03-12,4280159000,USD,Revenues,carried,2015,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,NetIncomeLoss,2014,10-K,FY,2015-03-12,562536000,USD,NetIncomeLoss,carried,2015,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,EarningsPerShareBasic,2014,10-K,FY,2015-03-12,0.91,USD/shares,EarningsPerShareBasic,carried,2015,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,EarningsPerShareDiluted,2014,10-K,FY,2015-03-12,0.9,USD/shares,EarningsPerShareDiluted,carried,2015,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,OperatingIncomeLoss,2014,10-K,FY,2015-03-12,648239000,USD,OperatingIncomeLoss,carried,2015,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,GrossProfit,2014,10-K,FY,2015-03-12,2226343000,USD,GrossProfit,carried,2015,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,ResearchAndDevelopmentExpense,2014,10-K,FY,2015-03-12,1147282000,USD,ResearchAndDevelopmentExpense,carried,2015,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,SellingGeneralAndAdministrativeExpense,2014,10-K,FY,2015-03-12,430822000,USD,SellingGeneralAndAdministrativeExpense,carried,2015,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,Assets,2014,10-K,FY,2015-03-12,7250894000,USD,Assets,carried,2015,0001045810-15-000036,,2014-01-26
NVDA,0001045810,Liabilities,2014,10-K,FY,2016-03-17,2783000000,USD,Liabilities,carried,2016,0001045810-16-000205,,2015-01-25
NVDA,0001045810,StockholdersEquity,2014,10-K,FY,2015-03-12,4145724000,USD,StockholdersEquity,carried,2015,0001045810-15-000036,,2012-01-29
NVDA,0001045810,CashAndCashEquivalentsAtCarryingValue,2014,10-K,FY,2015-03-12,667876000,USD,CashAndCashEquivalentsAtCarryingValue,carried,2015,0001045810-15-000036,,2012-01-29
NVDA,0001045810,NetCashProvidedByUsedInOperatingActivities,2014,10-K,FY,2015-03-12,824172000,USD,NetCashProvidedByUsedInOperatingActivities,carried,2015,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,LongTermDebt,2014,10-K,FY,2015-03-12,1356375000,USD,LongTermDebt,carried,2015,0001045810-15-000036,,2014-01-26
NVDA,0001045810,CostOfRevenue,2014,10-K,FY,2015-03-12,2053816000,USD,CostOfRevenue,carried,2015,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,OperatingExpenses,2014,10-K,FY,2015-03-12,1578104000,USD,OperatingExpenses,carried,2015,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,IncomeTaxExpenseBenefit,2014,10-K,FY,2015-03-12,99503000,USD,IncomeTaxExpenseBenefit,carried,2015,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,AccountsReceivableNetCurrent,2014,10-K,FY,2015-03-12,426357000,USD,AccountsReceivableNetCurrent,carried,2015,0001045810-15-000036,,2014-01-26
NVDA,0001045810,Revenues,2014,10-Q,Q1,2014-05-21,954739000,USD,Revenues,primary,,0001045810-14-000085,2013-01-28,2013-04-28
NVDA,0001045810,NetIncomeLoss,2014,10-Q,Q1,2014-05-21,77891000,USD,NetIncomeLoss,primary,,0001045810-14-000085,2013-01-28,2013-04-28
NVDA,0001045810,EarningsPerShareBasic,2014,10-Q,Q1,2014-05-21,0.13,USD/shares,EarningsPerShareBasic,primary,,0001045810-14-000085,2013-01-28,2013-04-28
NVDA,0001045810,EarningsPerShareDiluted,2014,10-Q,Q1,2014-05-21,0.13,USD/shares,EarningsPerShareDiluted,primary,,0001045810-14-000085,2013-01-28,2013-04-28
NVDA,0001045810,OperatingIncomeLoss,2014,10-Q,Q1,2014-05-21,82781000,USD,OperatingIncomeLoss,primary,,0001045810-14-000085,2013-01-28,2013-04-28
NVDA,0001045810,GrossProfit,2014,10-Q,Q1,2014-05-21,518568000,USD,GrossProfit,primary,,0001045810-14-000085,2013-01-28,2013-04-28
NVDA,0001045810,ResearchAndDevelopmentExpense,2014,10-Q,Q1,2014-05-21,327161000,USD,ResearchAndDevelopmentExpense,primary,,0001045810-14-000085,2013-01-28,2013-04-28
