ticker,year,tag_count
AAPL,2015,220
AAPL,2016,217
AAPL,2017,219
AAPL,2018,218
AAPL,2019,203
AAPL,2020,225
AAPL,2021,228
AAPL,2022,205
AAPL,2023,207
AAPL,2024,192
ADBE,2015,276
ADBE,2016,255
ADBE,2017,245
ADBE,2018,252
ADBE,2019,256
ADBE,2020,276
ADBE,2021,234
ADBE,2022,233
ADBE,2023,227
ADBE,2024,234
AMZN,2015,257
AMZN,2016,253
AMZN,2017,263
AMZN,2018,258
AMZN,2019,266
AMZN,2020,255
AMZN,2021,251
AMZN,2022,265
AMZN,2023,266
AMZN,2024,264
BAC,2015,393
BAC,2016,347
BAC,2017,331
BAC,2018,344
BAC,2019,351
BAC,2020,343
BAC,2021,334
BAC,2022,354
BAC,2023,328
BAC,2024,337
CSCO,2015,347
CSCO,2016,348
CSCO,2017,351
CSCO,2018,348
CSCO,2019,371
CSCO,2020,389
CSCO,2021,350
CSCO,2022,341
CSCO,2023,323
CSCO,2024,334
DIS,2015,6
DIS,2016,147
DIS,2017,257
DIS,2018,376
DIS,2019,372
DIS,2020,379
DIS,2021,347
DIS,2022,331
DIS,2023,327
DIS,2024,351
GOOGL,2015,311
GOOGL,2016,282
GOOGL,2017,248
GOOGL,2018,274
GOOGL,2019,281
GOOGL,2020,271
GOOGL,2021,258
GOOGL,2022,259
GOOGL,2023,251
GOOGL,2024,270
HD,2015,216
HD,2016,207
HD,2017,183
HD,2018,208
HD,2019,244
HD,2020,234
HD,2021,226
HD,2022,226
HD,2023,230
HD,2024,229
INTC,2015,306
INTC,2016,280
INTC,2017,302
INTC,2018,315
INTC,2019,306
INTC,2020,285
INTC,2021,286
INTC,2022,303
INTC,2023,300
INTC,2024,306
JPM,2015,411
JPM,2016,374
JPM,2017,370
JPM,2018,385
JPM,2019,392
JPM,2020,397
JPM,2021,417
JPM,2022,418
JPM,2023,421
JPM,2024,419
KO,2015,329
KO,2016,308
KO,2017,336
KO,2018,353
KO,2019,350
KO,2020,328
KO,2021,349
KO,2022,396
KO,2023,393
KO,2024,381
MA,2015,271
MA,2016,265
MA,2017,294
MA,2018,284
MA,2019,291
MA,2020,277
MA,2021,290
MA,2022,289
MA,2023,290
MA,2024,275
META,2015,189
META,2016,184
META,2017,174
META,2018,183
META,2019,205
META,2020,208
META,2021,200
META,2022,225
META,2023,226
META,2024,237
MSFT,2015,243
MSFT,2016,238
MSFT,2017,249
MSFT,2018,270
MSFT,2019,248
MSFT,2020,249
MSFT,2021,249
MSFT,2022,248
MSFT,2023,249
MSFT,2024,246
NVDA,2015,283
NVDA,2016,286
NVDA,2017,294
NVDA,2018,268
NVDA,2019,262
NVDA,2020,268
NVDA,2021,233
NVDA,2022,257
NVDA,2023,257
NVDA,2024,253
PFE,2015,293
PFE,2016,294
PFE,2017,316
PFE,2018,323
PFE,2019,337
PFE,2020,334
PFE,2021,311
PFE,2022,305
PFE,2023,307
PFE,2024,306
PG,2015,278
PG,2016,262
PG,2017,257
PG,2018,253
PG,2019,259
PG,2020,284
PG,2021,246
PG,2022,244
PG,2023,249
PG,2024,264
TSLA,2015,221
TSLA,2016,254
TSLA,2017,264
TSLA,2018,279
TSLA,2019,299
TSLA,2020,283
TSLA,2021,283
TSLA,2022,292
TSLA,2023,286
TSLA,2024,273
UNH,2015,292
UNH,2016,281
UNH,2017,288
UNH,2018,280
UNH,2019,292
UNH,2020,280
UNH,2021,275
UNH,2022,285
UNH,2023,293
UNH,2024,292
V,2015,294
V,2016,316
V,2017,273
V,2018,243
V,2019,244
V,2020,247
V,2021,232
V,2022,230
V,2023,222
V,2024,220
