ticker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AAPL,220,217,219,218,203,225,228,205,207,192
ADBE,276,255,245,252,256,276,234,233,227,234
AMZN,257,253,263,258,266,255,251,265,266,264
BAC,393,347,331,344,351,343,334,354,328,337
CSCO,347,348,351,348,371,389,350,341,323,334
DIS,6,147,257,376,372,379,347,331,327,351
GOOGL,311,282,248,274,281,271,258,259,251,270
HD,216,207,183,208,244,234,226,226,230,229
INTC,306,280,302,315,306,285,286,303,300,306
JPM,411,374,370,385,392,397,417,418,421,419
KO,329,308,336,353,350,328,349,396,393,381
MA,271,265,294,284,291,277,290,289,290,275
META,189,184,174,183,205,208,200,225,226,237
MSFT,243,238,249,270,248,249,249,248,249,246
NVDA,283,286,294,268,262,268,233,257,257,253
PFE,293,294,316,323,337,334,311,305,307,306
PG,278,262,257,253,259,284,246,244,249,264
TSLA,221,254,264,279,299,283,283,292,286,273
UNH,292,281,288,280,292,280,275,285,293,292
V,294,316,273,243,244,247,232,230,222,220
